position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
11,Camille,1.666,top,50.15,3.79,1.72,1,645528,all,2.0,3.0,"['Illaoi', 'Teemo', 'Zac', 'Kayle', 'Jax']","['46.04', '46.16', '46.23', '47.15', '47.25']","['16876', '13243', '2371', '9355', '35207']","['Sylas', 'Yone', 'Rumble', 'Akali', 'Jayce']","['54.56', '53.5', '53.39', '53.31', '53.18']","['2960', '29345', '5752', '8452', '14535']",2.222
12,Akshan,1.666,top,50.9,0.35,2.88,0,59129,all,3.0,,"['Tahm Kench', 'Malphite', 'Jax', 'Nasus', 'Trundle']","['45.51', '45.72', '46.36', '47.44', '47.99']","['780', '2745', '2334', '1817', '2811']","['Sylas', 'Quinn', 'Vayne', 'Jayce', 'Gnar']","['55.96', '55.13', '55.01', '54.54', '54.2']","['445', '867', '769', '1817', '1155']",2.333
13,Vayne,1.666,top,50.39,1.66,9.8,1,282490,all,2.0,4.0,"['Malphite', 'Teemo', 'Nasus', 'Wukong', 'Quinn']","['40.65', '41.92', '42.68', '44.43', '45.68']","['10294', '7923', '9155', '637', '2360']","['Gwen', 'Darius', 'Volibear', 'Renekton', ""K'Sante""]","['54.86', '54.79', '54.73', '54.51', '54.26']","['2745', '15534', '5176', '4333', '4615']",2.5553333333333335
14,Nasus,1.666,top,52.42,5.85,6.5,15,995476,all,1.0,1.0,"['Zac', 'Garen', 'Illaoi', 'Tahm Kench', 'Singed']","['47.16', '47.91', '48.16', '48.47', '48.52']","['2496', '48666', '33669', '15328', '10065']","['Kennen', 'Vladimir', 'Vayne', 'Jayce', 'Akali']","['59.21', '58.34', '57.31', '56.94', '56.43']","['9379', '3980', '9161', '20085', '11722']",1.222
15,Quinn,1.666,top,50.77,1.56,1.75,1,265108,all,2.0,4.0,"['Malphite', 'Dr. Mundo', 'Nasus', 'Ornn', 'Poppy']","['43.56', '45.48', '45.52', '45.81', '46.17']","['10379', '3472', '7366', '3351', '1111']","['Volibear', 'Sylas', 'Jayce', 'Gragas', 'Darius']","['56.3', '55.89', '55.64', '54.98', '54.66']","['5213', '993', '7000', '1044', '12099']",2.5553333333333335
16,Urgot,2.0,top,51.33,2.27,0.93,3,386941,all,2.0,3.0,"['Dr. Mundo', 'Kayle', 'Trundle', 'Ornn', 'Olaf']","['45.29', '46.52', '46.74', '47.58', '47.75']","['5683', '7343', '16901', '7503', '5696']","['Akali', 'Jayce', 'Sylas', 'Yone', 'Kennen']","['57.77', '55.25', '54.63', '54.47', '54.47']","['4757', '6136', '1457', '16770', '2515']",2.3333333333333335
17,Kled,2.0,top,51.3,1.23,0.74,2,209744,all,3.0,4.0,"['Singed', 'Kayle', 'Fiora', 'Poppy', 'Vayne']","['45.36', '47.04', '47.2', '47.66', '48.19']","['1638', '3297', '5176', '1259', '1770']","['Sylas', 'Yasuo', 'Renekton', 'Yorick', 'Olaf']","['59.25', '55.31', '55.12', '54.95', '54.9']","['935', '2327', '5062', '3778', '2814']",3.0
18,Garen,2.0,top,52.14,8.33,6.26,19,1417037,all,1.0,1.0,"['Kayle', 'Trundle', 'Camille', 'Zac', 'Vayne']","['45.98', '47.85', '47.87', '48', '48.37']","['31732', '73215', '38304', '2706', '14561']","['Jax', 'Akali', 'Yasuo', ""K'Sante"", 'Yone']","['56', '55.96', '55.93', '55.81', '55.77']","['100878', '17249', '16874', '24443', '67117']",1.3333333333333333
19,Swain,2.0,top,50.69,0.37,3.78,0,62117,all,3.0,,"['Sylas', 'Trundle', 'Olaf', 'Yorick', 'Zac']","['45.47', '45.59', '46.15', '46.79', '46.97']","['607', '3288', '780', '1340', '198']","['Wukong', 'Malphite', 'Volibear', 'Kennen', 'Sion']","['56.52', '55.96', '54.86', '54.8', '54.59']","['184', '2191', '1657', '542', '1438']",2.5
20,Kayle,2.0,top,52.21,3.12,1.28,7,530479,all,2.0,2.0,"['Nasus', 'Zac', 'Irelia', 'Malphite', 'Jax']","['46.28', '48.15', '48.8', '48.96', '49.05']","['22196', '1082', '11421', '12974', '22221']","['Volibear', ""K'Sante"", 'Udyr', 'Gangplank', 'Darius']","['57.06', '56.74', '56.41', '56.38', '55.52']","['11848', '7873', '1248', '10588', '20957']",2.0
21,Malphite,2.0,top,51.77,5.98,9.29,12,1018039,all,1.0,1.0,"['Zac', 'Dr. Mundo', 'Ornn', ""Cho'Gath"", 'Tahm Kench']","['42.52', '43.92', '44.87', '45.35', '45.53']","['3300', '14181', '18122', '13299', '13424']","['Vayne', 'Tryndamere', 'Pantheon', 'Quinn', 'Yasuo']","['59.35', '58.36', '56.53', '56.46', '56.26']","['10287', '23625', '13323', '10369', '13700']",1.3333333333333333
