champion_name,tier_rank,tier,counters_list,win_rate_list,role
Jax,PLATINUM_PLUS,1,"['Singed', 'Rengar', 'Dr. Mundo', 'Illaoi', 'Quinn']","['45', '46', '46', '46', '47']",TOP
Fiora,PLATINUM_PLUS,1,"['Warwick', 'Malphite', 'Riven', 'Urgot', 'Trundle']","['47', '48', '48', '49', '49']",TOP
Poppy,PLATINUM_PLUS,2,"['Vayne', ""Cho'Gath"", 'Olaf', 'Darius', 'Garen']","['44', '46', '46', '46', '48']",TOP
Singed,PLATINUM_PLUS,2,"['Vayne', 'Poppy', 'Kayle', 'Camille', 'Urgot']","['47', '47', '48', '48', '48']",TOP
Zac,PLATINUM_PLUS,3,"['Singed', 'Ornn', 'Mordekaiser', 'Volibear', 'Olaf']","['40', '40', '41', '45', '45']",TOP
Ornn,PLATINUM_PLUS,2,"['Fiora', 'Singed', 'Olaf', 'Trundle']","['47', '47', '48', '48']",TOP
Cassiopeia,PLATINUM_PLUS,3,"['Sion', 'Ornn', 'Yasuo', 'Syndra', 'Darius']","['35', '41', '45', '46', '46']",TOP
Illaoi,PLATINUM_PLUS,1,"['Varus', 'Kayle', 'Gwen', 'Mordekaiser', 'Trundle']","['46', '46', '47', '48', '49']",TOP
Olaf,PLATINUM_PLUS,2,"['Vayne', 'Trundle', 'Kled', 'Quinn', 'Akali']","['46', '47', '48', '48', '49']",TOP
Rengar,PLATINUM_PLUS,3,"['Kled', 'Varus', 'Warwick', 'Singed', 'Tryndamere']","['46', '47', '47', '47', '47']",TOP
Camille,PLATINUM_PLUS,2,"['Shen', 'Poppy', 'Warwick', 'Jax', 'Pantheon']","['48', '49', '49', '49', '50']",TOP
Akshan,PLATINUM_PLUS,3,"['Poppy', 'Mordekaiser', 'Shen', 'Pantheon', 'Malphite']","['41', '43', '45', '46', '47']",TOP
Vayne,PLATINUM_PLUS,2,"['Malphite', 'Nasus', 'Teemo', 'Irelia', 'Gragas']","['40', '43', '45', '47', '48']",TOP
Nasus,PLATINUM_PLUS,1,"['Tahm Kench', 'Sylas', 'Kled', 'Singed', 'Aatrox']","['47', '48', '49', '50', '50']",TOP
Quinn,PLATINUM_PLUS,2,"['Dr. Mundo', 'Tahm Kench', 'Malphite', 'Nasus', 'Ornn']","['42', '45', '46', '48', '48']",TOP
Urgot,PLATINUM_PLUS,2,"['Kayle', 'Dr. Mundo', 'Ornn', 'Poppy', 'Kled']","['46', '47', '47', '49', '49']",TOP
Kled,PLATINUM_PLUS,3,"['Singed', 'Vayne', 'Shen', 'Poppy', 'Kayle']","['44', '44', '46', '47', '48']",TOP
Garen,PLATINUM_PLUS,1,"['Kayle', 'Camille', 'Tryndamere', 'Trundle', 'Vayne']","['46', '47', '49', '50', '50']",TOP
Swain,PLATINUM_PLUS,3,"['Akali', 'Singed', 'Yone', 'Tryndamere', 'Sylas']","['41', '42', '44', '45', '45']",TOP
Kayle,PLATINUM_PLUS,2,"['Sylas', 'Quinn', 'Irelia', 'Tryndamere', 'Nasus']","['46', '47', '48', '49', '49']",TOP
Malphite,PLATINUM_PLUS,1,"['Sylas', 'Ornn', 'Tahm Kench', 'Dr. Mundo', 'Shen']","['45', '46', '46', '47', '47']",TOP
Sylas,PLATINUM_PLUS,2,"['Urgot', 'Ornn', 'Trundle', 'Pantheon', 'Dr. Mundo']","['43', '45', '45', '46', '46']",TOP
TahmKench,PLATINUM_PLUS,2,"['Poppy', 'Shen', 'Singed', 'Riven', 'Camille']","['47', '47', '48', '49', '49']",TOP
Maokai,PLATINUM_PLUS,3,"['Urgot', 'Dr. Mundo', 'Singed', 'Fiora', 'Trundle']","['39', '41', '43', '46', '46']",TOP
Trundle,PLATINUM_PLUS,1,"['Quinn', 'Gnar', 'Poppy', 'Kled', 'Malphite']","['47', '48', '48', '48', '49']",TOP
Teemo,PLATINUM_PLUS,2,"['Ryze', 'Ornn', 'Kled', 'Olaf', 'Malphite']","['43', '46', '47', '48', '48']",TOP
Tryndamere,PLATINUM_PLUS,2,"['Malphite', 'Ornn', 'Quinn', 'Nasus', 'Tahm Kench']","['43', '46', '47', '47', '47']",TOP
Warwick,PLATINUM_PLUS,3,"['Olaf', 'Poppy', 'Gragas', 'Vayne', 'Garen']","['43', '44', '45', '46', '47']",TOP
Riven,PLATINUM_PLUS,2,"['Quinn', 'Poppy', 'Vayne', 'Malphite', 'Urgot']","['44', '47', '47', '47', '47']",TOP
Fiddlesticks,PLATINUM_PLUS,3,"['Gnar', 'Olaf', 'Riven', 'Jax', 'Sylas']","['35', '36', '38', '41', '43']",TOP
DrMundo,PLATINUM_PLUS,2,"['Warwick', 'Vayne', 'Irelia', 'Riven', 'Trundle']","['43', '46', '47', '47', '48']",TOP
Neeko,PLATINUM_PLUS,3,"['Heimerdinger', 'Irelia', 'Urgot', 'Gangplank', 'Nasus']","['32', '33', '36', '38', '40']",TOP
Udyr,PLATINUM_PLUS,3,"['Kled', 'Gragas', 'Sylas', 'Poppy', 'Warwick']","['37', '41', '42', '44', '45']",TOP
Zed,PLATINUM_PLUS,3,"['Singed', 'Nasus', 'Shen', 'Gnar', 'Gwen']","['39', '43', '43', '43', '44']",TOP
Shen,PLATINUM_PLUS,3,"['Singed', 'Varus', 'Vayne', 'Kayle', 'Fiora']","['45', '45', '47', '47', '48']",TOP
Aatrox,PLATINUM_PLUS,1,"['Singed', 'Irelia', 'Malphite', 'Warwick', 'Kayle']","['45', '47', '48', '48', '48']",TOP
Mordekaiser,PLATINUM_PLUS,2,"['Vayne', 'Kayle', 'Olaf', 'Yone', 'Fiora']","['45', '47', '47', '48', '49']",TOP
Azir,PLATINUM_PLUS,4,"['Syndra', 'Akshan', ""Cho'Gath"", 'Jayce', 'Quinn']","['26', '32', '37', '39', '39']",TOP
AurelionSol,PLATINUM_PLUS,3,"['Riven', 'Varus', 'Irelia', 'Camille', 'Mordekaiser']","['24', '30', '31', '34', '36']",TOP
Jayce,PLATINUM_PLUS,2,"['Poppy', 'Rengar', 'Malphite', 'Ornn', 'Nasus']","['42', '44', '44', '44', '45']",TOP
Varus,PLATINUM_PLUS,3,"['Nasus', 'Malphite', 'Irelia', 'Urgot', 'Tryndamere']","['45', '45', '45', '46', '46']",TOP
Darius,PLATINUM_PLUS,1,"['Dr. Mundo', 'Vayne', 'Kayle', 'Quinn', 'Ornn']","['47', '47', '47', '48', '48']",TOP
Chogath,PLATINUM_PLUS,3,"['Kled', 'Dr. Mundo', 'Gwen', 'Trundle', 'Fiora']","['44', '45', '46', '47', '47']",TOP
Ksante,PLATINUM_PLUS,3,"['Singed', 'Quinn', 'Fiora', 'Vayne', 'Garen']","['45', '46', '46', '46', '46']",TOP
Lillia,PLATINUM_PLUS,3,"['Rumble', 'Sett', 'Gangplank', 'Gnar', 'Fiora']","['40', '41', '42', '43', '43']",TOP
Irelia,PLATINUM_PLUS,2,"['Tryndamere', 'Trundle', 'Jax', 'Warwick', 'Malphite']","['43', '44', '44', '45', '47']",TOP
Qiyana,PLATINUM_PLUS,4,"['Zac', 'Gragas', 'Ornn', 'Yasuo', 'Sylas']","['11', '18', '21', '27', '33']",TOP
Yorick,PLATINUM_PLUS,3,"['Warwick', 'Urgot', 'Irelia', 'Tryndamere', 'Kayle']","['40', '45', '45', '45', '46']",TOP
Anivia,PLATINUM_PLUS,3,"['Kled', 'Sylas', 'Sett', 'Tahm Kench', 'Fiora']","['11', '20', '37', '38', '39']",TOP
Kassadin,PLATINUM_PLUS,3,"['Zed', 'Darius', 'Tahm Kench', 'Jayce', 'Sett']","['0', '20', '20', '22', '22']",TOP
LeBlanc,PLATINUM_PLUS,4,"['Malzahar', 'Poppy', 'Dr. Mundo', 'Rumble', 'Viktor']","['15', '17', '22', '23', '27']",TOP
Naafiri,PLATINUM_PLUS,3,"['Singed', 'Olaf', 'Tryndamere', 'Fiora', 'Warwick']","['32', '39', '41', '41', '42']",TOP
Vladimir,PLATINUM_PLUS,3,"['Nasus', ""Cho'Gath"", 'Rumble', 'Vayne', 'Sett']","['45', '46', '46', '46', '47']",TOP
Viktor,PLATINUM_PLUS,3,"['Singed', 'Kayle', 'Sylas', 'Garen', 'Hwei']","['24', '34', '38', '39', '39']",TOP
Heimerdinger,PLATINUM_PLUS,3,"['Olaf', 'Irelia', 'Yasuo', 'Sion', 'Garen']","['41', '44', '46', '47', '47']",TOP
Galio,PLATINUM_PLUS,3,"['Gnar', 'Gwen', 'Poppy', 'Shen', 'Trundle']","['20', '29', '30', '35', '36']",TOP
Renekton,PLATINUM_PLUS,2,"['Illaoi', 'Dr. Mundo', 'Singed', 'Quinn', 'Ornn']","['44', '45', '45', '45', '46']",TOP
Karthus,PLATINUM_PLUS,4,"['Vayne', 'Yorick', 'Riven', 'Olaf', ""Cho'Gath""]","['20', '32', '33', '35', '35']",TOP
Kennen,PLATINUM_PLUS,3,"['Nasus', 'Dr. Mundo', 'Kled', 'Olaf', 'Pantheon']","['42', '44', '45', '45', '46']",TOP
Gwen,PLATINUM_PLUS,3,"['Singed', 'Riven', 'Warwick', 'Kayle', 'Gragas']","['43', '44', '45', '45', '47']",TOP
Annie,PLATINUM_PLUS,4,"['Zac', 'Kled', ""Cho'Gath"", 'Malzahar', 'Gragas']","['17', '17', '20', '25', '29']",TOP
Ryze,PLATINUM_PLUS,3,"['Ornn', 'Irelia', ""K'Sante"", 'Olaf', ""Cho'Gath""]","['40', '40', '41', '41', '41']",TOP
Reksai,PLATINUM_PLUS,4,"['Heimerdinger', 'Maokai', 'Varus', 'Kayle', 'Kled']","['0', '0', '20', '20', '25']",TOP
Sett,PLATINUM_PLUS,2,"['Poppy', 'Trundle', 'Kled', 'Malphite', 'Singed']","['43', '47', '47', '47', '47']",TOP
Gragas,PLATINUM_PLUS,4,"['Singed', 'Nasus', 'Dr. Mundo', 'Irelia', ""Cho'Gath""]","['40', '43', '43', '44', '44']",TOP
Gnar,PLATINUM_PLUS,3,"['Sylas', 'Malphite', 'Nasus', 'Tryndamere', 'Camille']","['43', '46', '46', '47', '47']",TOP
Akali,PLATINUM_PLUS,3,"['Singed', 'Ornn', 'Sion', 'Urgot', 'Nasus']","['40', '44', '44', '45', '45']",TOP
Rumble,PLATINUM_PLUS,3,"['Camille', 'Olaf', 'Ornn', 'Warwick', 'Sylas']","['44', '45', '45', '45', '45']",TOP
Volibear,PLATINUM_PLUS,2,"['Vayne', 'Kayle', 'Quinn', 'Kennen', 'Teemo']","['44', '45', '45', '46', '47']",TOP
Rammus,PLATINUM_PLUS,3,"['Yorick', 'Garen', 'Mordekaiser', 'Warwick', 'Kennen']","['30', '34', '37', '39', '40']",TOP
Sion,PLATINUM_PLUS,3,"['Gwen', 'Kled', 'Vayne', 'Riven', 'Shen']","['44', '44', '45', '45', '46']",TOP
Malzahar,PLATINUM_PLUS,3,"['Dr. Mundo', 'Riven', 'Irelia', 'Tryndamere', 'Camille']","['33', '33', '39', '40', '42']",TOP
Yasuo,PLATINUM_PLUS,3,"['Malphite', 'Olaf', 'Nasus', 'Riven', 'Singed']","['43', '44', '44', '44', '44']",TOP
Yone,PLATINUM_PLUS,1,"['Garen', 'Riven', 'Warwick', 'Malphite', 'Singed']","['46', '46', '46', '47', '47']",TOP
Graves,PLATINUM_PLUS,4,"['Poppy', 'Kled', 'Olaf', 'Nasus', 'Tryndamere']","['32', '36', '36', '37', '38']",TOP
Kayn,PLATINUM_PLUS,4,"['Quinn', 'Kennen', 'Poppy', 'Singed', 'Camille']","['29', '35', '37', '37', '37']",TOP
Pantheon,PLATINUM_PLUS,3,"['Malphite', 'Yorick', 'Olaf', 'Illaoi', 'Singed']","['44', '45', '46', '46', '47']",TOP
Lissandra,PLATINUM_PLUS,3,"['Shen', 'Urgot', 'Tryndamere', 'Warwick', 'Cassiopeia']","['29', '30', '33', '36', '41']",TOP
Ahri,PLATINUM_PLUS,4,"['Ryze', 'Yasuo', 'Fiora', 'Dr. Mundo', 'Sylas']","['33', '36', '38', '39', '39']",TOP
Gangplank,PLATINUM_PLUS,3,"['Ornn', 'Quinn', 'Trundle', 'Kayle', 'Kled']","['45', '46', '47', '47', '47']",TOP
Kalista,PLATINUM_PLUS,5,"['Urgot', 'Malphite', 'Kennen', 'Tahm Kench', 'Camille']","['31', '32', '33', '35', '37']",TOP
Ivern,PLATINUM_PLUS,5,"['Singed', 'Warwick', 'Renekton', 'Quinn', 'Poppy']","['0', '17', '21', '25', '25']",TOP
Shaco,PLATINUM_PLUS,3,"[""Cho'Gath"", 'Kled', 'Poppy', 'Kennen', 'Illaoi']","['35', '37', '41', '41', '41']",TOP
Karma,PLATINUM_PLUS,5,"['Varus', 'Sion', 'Yorick', 'Kayle', 'Sylas']","['22', '34', '35', '36', '38']",TOP
Briar,PLATINUM_PLUS,3,"['Shen', 'Dr. Mundo', 'Quinn', 'Kled', 'Fiora']","['35', '38', '41', '41', '42']",TOP
Shyvana,PLATINUM_PLUS,3,"['Warwick', 'Nasus', 'Jax', 'Irelia', 'Darius']","['41', '42', '42', '43', '44']",TOP
MasterYi,PLATINUM_PLUS,4,"['Camille', 'Gnar', 'Olaf', 'Tahm Kench', 'Riven']","['36', '37', '37', '38', '38']",TOP
Veigar,PLATINUM_PLUS,4,"['Kled', 'Sylas', 'Singed', 'Garen', 'Cassiopeia']","['25', '35', '35', '38', '39']",TOP
Corki,PLATINUM_PLUS,10,"['Sion', 'Gnar', ""Kai'Sa"", 'Senna', 'Akali']","['0', '0', '0', '0', '17']",TOP
Hwei,PLATINUM_PLUS,5,"['Dr. Mundo', 'Vayne', 'Camille', 'Shen', 'Tryndamere']","['29', '29', '31', '33', '33']",TOP
XinZhao,PLATINUM_PLUS,4,"['Yorick', 'Malphite', 'Pantheon', 'Shen', 'Ornn']","['32', '34', '35', '36', '37']",TOP
Sejuani,PLATINUM_PLUS,5,"['Gragas', 'Singed', 'Maokai', 'Renekton', 'Ornn']","['19', '26', '33', '35', '36']",TOP
Skarner,PLATINUM_PLUS,5,"['Rengar', 'Akali', 'Nasus', 'Kled', 'Varus']","['23', '28', '30', '31', '31']",TOP
Jax,PLATINUM_PLUS,2,"['Zac', 'Taliyah', 'Maokai', 'Nocturne', 'Lillia']","['44', '45', '48', '48', '48']",JUNGLE
Briar,PLATINUM_PLUS,1,"['Rammus', 'Trundle', ""Rek'Sai"", 'Nocturne']","['48', '50', '50', '50']",JUNGLE
Belveth,PLATINUM_PLUS,2,"['Taliyah', 'Gragas', 'Master Yi', 'Jax', 'Amumu']","['48', '48', '49', '49', '49']",JUNGLE
Graves,PLATINUM_PLUS,1,"['Ivern', 'Fiddlesticks', 'Jax', ""Kha'Zix"", ""Bel'Veth""]","['48', '49', '49', '49', '49']",JUNGLE
Karthus,PLATINUM_PLUS,3,"['Evelynn', 'Ivern', 'Kindred', ""Bel'Veth"", 'Ekko']","['47', '47', '48', '48', '48']",JUNGLE
Taliyah,PLATINUM_PLUS,3,"['Talon', 'Ivern', 'Rengar', ""Rek'Sai"", 'Rammus']","['46', '47', '47', '48', '48']",JUNGLE
Ivern,PLATINUM_PLUS,2,"[""Rek'Sai"", 'Fiddlesticks', 'Talon', 'Rammus', 'Briar']","['45', '48', '49', '50', '50']",JUNGLE
MasterYi,PLATINUM_PLUS,2,"['Rammus', 'Ivern', 'Fiddlesticks', 'Gragas', ""Rek'Sai""]","['47', '49', '49', '49', '50']",JUNGLE
Ekko,PLATINUM_PLUS,2,"['Maokai', ""Rek'Sai"", 'Evelynn', ""Kha'Zix""]","['48', '48', '49', '49']",JUNGLE
Nocturne,PLATINUM_PLUS,1,['Ivern'],['48'],JUNGLE
Zac,PLATINUM_PLUS,2,"['Ivern', 'Lillia', 'Talon', 'Udyr', 'Taliyah']","['47', '48', '48', '48', '49']",JUNGLE
Brand,PLATINUM_PLUS,2,"['Rengar', ""Kha'Zix"", 'Kindred', 'Ekko', 'Nocturne']","['48', '49', '49', '49', '49']",JUNGLE
Poppy,PLATINUM_PLUS,3,"['Ivern', 'Nocturne', 'Trundle', 'Taliyah', 'Shyvana']","['43', '45', '46', '46', '47']",JUNGLE
Kayn,PLATINUM_PLUS,1,"[""Rek'Sai"", 'Fiddlesticks', 'Ivern', 'Rammus', 'Nocturne']","['48', '48', '48', '49', '49']",JUNGLE
Evelynn,PLATINUM_PLUS,2,"['Ivern', 'Briar', 'Rengar']","['49', '49', '49']",JUNGLE
Fiddlesticks,PLATINUM_PLUS,2,"['Udyr', 'Trundle', 'Amumu', 'Briar']","['48', '48', '49', '49']",JUNGLE
Talon,PLATINUM_PLUS,3,"['Fiddlesticks', ""Bel'Veth"", 'Gragas', 'Elise', 'Master Yi']","['49', '49', '49', '49', '49']",JUNGLE
Rammus,PLATINUM_PLUS,2,"['Brand', 'Lillia', 'Amumu']","['49', '49', '49']",JUNGLE
Khazix,PLATINUM_PLUS,2,"[""Rek'Sai"", 'Shaco', 'Nocturne', 'Rammus', 'Briar']","['47', '49', '49', '50', '50']",JUNGLE
Maokai,PLATINUM_PLUS,3,"['Karthus', 'Xin Zhao', 'Shaco', 'Ivern', 'Shyvana']","['47', '48', '49', '49', '49']",JUNGLE
Skarner,PLATINUM_PLUS,3,"['Amumu', 'Elise', 'Brand', 'Trundle', 'Wukong']","['40', '40', '43', '47', '47']",JUNGLE
Lillia,PLATINUM_PLUS,2,"[""Rek'Sai"", 'Kindred', 'Briar', 'Talon', ""Bel'Veth""]","['45', '45', '47', '48', '48']",JUNGLE
Trundle,PLATINUM_PLUS,2,"['Ekko', 'Ivern', 'Taliyah', 'Talon', 'Lillia']","['47', '48', '48', '48', '49']",JUNGLE
Reksai,PLATINUM_PLUS,3,"['Trundle', 'Karthus', 'Talon', 'Nunu & Willump', ""Bel'Veth""]","['43', '45', '47', '47', '48']",JUNGLE
Rumble,PLATINUM_PLUS,3,"[""Bel'Veth"", 'Ivern', 'Gragas', 'Brand', 'Diana']","['41', '43', '45', '45', '45']",JUNGLE
Hecarim,PLATINUM_PLUS,2,"['Ivern', 'Evelynn', 'Nocturne', 'Graves', 'Sylas']","['47', '48', '48', '48', '49']",JUNGLE
Udyr,PLATINUM_PLUS,3,"['Ivern', 'Talon', 'Ekko', 'Maokai', 'Kayn']","['47', '47', '49', '49', '49']",JUNGLE
Gwen,PLATINUM_PLUS,3,"['Master Yi', ""Rek'Sai"", 'Ivern', 'Fiddlesticks', 'Taliyah']","['42', '43', '45', '47', '47']",JUNGLE
Kindred,PLATINUM_PLUS,3,"['Rammus', 'Ivern', 'Trundle', ""Kha'Zix"", 'Shaco']","['46', '47', '47', '48', '48']",JUNGLE
Shaco,PLATINUM_PLUS,2,"['Graves', 'Briar', 'Shyvana', 'Karthus']","['49', '49', '49', '50']",JUNGLE
Amumu,PLATINUM_PLUS,3,"['Brand', 'Ivern', 'Talon', 'Zac', 'Nocturne']","['45', '47', '48', '48', '49']",JUNGLE
Warwick,PLATINUM_PLUS,3,"['Ivern', 'Zac', 'Nocturne', 'Rammus', 'Brand']","['46', '47', '48', '49', '49']",JUNGLE
Rell,PLATINUM_PLUS,3,"['Taliyah', 'Shyvana', 'Wukong', 'Ekko', 'Zac']","['44', '44', '45', '45', '45']",JUNGLE
Teemo,PLATINUM_PLUS,3,"['Rammus', 'Rengar', 'Nunu & Willump', 'Maokai', 'Fiddlesticks']","['42', '43', '43', '44', '45']",JUNGLE
Darius,PLATINUM_PLUS,3,"['Talon', 'Zac', 'Brand', 'Wukong', 'Xin Zhao']","['29', '31', '40', '41', '42']",JUNGLE
Rengar,PLATINUM_PLUS,3,"['Briar', 'Master Yi', 'Rammus', ""Bel'Veth"", 'Nocturne']","['46', '47', '47', '48', '48']",JUNGLE
LeeSin,PLATINUM_PLUS,1,"['Ivern', 'Rammus', 'Brand', 'Fiddlesticks', 'Nocturne']","['46', '47', '48', '48', '48']",JUNGLE
Viego,PLATINUM_PLUS,2,"['Rammus', 'Fiddlesticks', 'Ivern', 'Zac', 'Evelynn']","['44', '46', '47', '47', '48']",JUNGLE
Shyvana,PLATINUM_PLUS,3,"['Talon', 'Nunu & Willump', 'Rengar', 'Zac', 'Elise']","['45', '48', '48', '48', '48']",JUNGLE
Vi,PLATINUM_PLUS,2,"['Taliyah', 'Nocturne', 'Ivern', 'Viego', 'Zac']","['49', '49', '49', '49', '49']",JUNGLE
Mordekaiser,PLATINUM_PLUS,3,"['Volibear', 'Taliyah', 'Poppy', 'Karthus', 'Vi']","['31', '40', '42', '43', '43']",JUNGLE
Taric,PLATINUM_PLUS,3,"['Wukong', 'Fiddlesticks', 'Talon', ""Rek'Sai"", ""Kha'Zix""]","['31', '31', '33', '33', '34']",JUNGLE
Elise,PLATINUM_PLUS,3,"['Evelynn', 'Amumu', 'Rammus', 'Karthus', 'Shaco']","['46', '46', '46', '47', '47']",JUNGLE
Gragas,PLATINUM_PLUS,3,"['Rammus', 'Taliyah', 'Brand', 'Nocturne', 'Evelynn']","['46', '47', '47', '48', '48']",JUNGLE
JarvanIV,PLATINUM_PLUS,2,"['Karthus', 'Elise', 'Taliyah', 'Ivern', ""Bel'Veth""]","['47', '48', '48', '48', '48']",JUNGLE
Sylas,PLATINUM_PLUS,2,"['Ivern', 'Brand', 'Kindred', 'Briar', 'Zac']","['44', '46', '46', '46', '47']",JUNGLE
Singed,PLATINUM_PLUS,4,"['Zed', 'Gragas', 'Briar', 'Hecarim', 'Shaco']","['33', '34', '37', '41', '42']",JUNGLE
Diana,PLATINUM_PLUS,2,"['Ivern', 'Trundle', ""Bel'Veth"", 'Evelynn', 'Briar']","['46', '47', '47', '47', '48']",JUNGLE
Nidalee,PLATINUM_PLUS,3,"['Briar', 'Rammus', 'Fiddlesticks', 'Warwick', 'Zac']","['44', '45', '46', '46', '47']",JUNGLE
Zed,PLATINUM_PLUS,3,"['Rengar', 'Karthus', 'Trundle', 'Maokai', 'Ivern']","['41', '42', '42', '42', '43']",JUNGLE
Nunu,PLATINUM_PLUS,3,"['Karthus', 'Ivern', 'Brand', 'Briar', 'Kayn']","['47', '47', '48', '48', '49']",JUNGLE
Qiyana,PLATINUM_PLUS,4,"['Trundle', ""Bel'Veth"", 'Ivern', 'Nocturne', 'Jarvan IV']","['31', '39', '41', '42', '44']",JUNGLE
Pantheon,PLATINUM_PLUS,3,"['Ivern', 'Maokai', ""Rek'Sai"", 'Talon', 'Sylas']","['39', '40', '43', '44', '44']",JUNGLE
Sion,PLATINUM_PLUS,4,"['Amumu', 'Trundle', ""Kha'Zix"", 'Fiddlesticks', 'Nidalee']","['32', '38', '38', '40', '43']",JUNGLE
Neeko,PLATINUM_PLUS,4,"['Talon', 'Amumu', 'Hecarim', 'Diana', 'Briar']","['27', '35', '39', '39', '40']",JUNGLE
XinZhao,PLATINUM_PLUS,3,"['Jax', 'Fiddlesticks', 'Brand', 'Briar', 'Zac']","['45', '48', '49', '49', '49']",JUNGLE
Olaf,PLATINUM_PLUS,3,"[""Bel'Veth"", 'Elise', 'Talon', 'Wukong', 'Udyr']","['37', '41', '41', '42', '43']",JUNGLE
Morgana,PLATINUM_PLUS,2,"['Ivern', 'Kindred', 'Shyvana', 'Fiddlesticks', 'Elise']","['39', '42', '44', '44', '45']",JUNGLE
Volibear,PLATINUM_PLUS,3,"['Ivern', 'Lillia', 'Graves', 'Master Yi', 'Shaco']","['41', '44', '44', '46', '47']",JUNGLE
Tryndamere,PLATINUM_PLUS,4,"['Ivern', 'Udyr', 'Sylas', 'Gragas', 'Jax']","['15', '29', '30', '30', '33']",JUNGLE
Yorick,PLATINUM_PLUS,4,"['Talon', 'Xin Zhao', 'Briar', 'Udyr', 'Hecarim']","['20', '22', '25', '30', '33']",JUNGLE
Sejuani,PLATINUM_PLUS,3,"['Ivern', 'Brand', 'Lillia', ""Bel'Veth"", 'Poppy']","['39', '44', '45', '46', '46']",JUNGLE
Urgot,PLATINUM_PLUS,4,"['Nunu & Willump', 'Talon', 'Zac', 'Ivern', 'Nocturne']","['10', '20', '33', '33', '34']",JUNGLE
DrMundo,PLATINUM_PLUS,3,"['Xin Zhao', 'Hecarim', 'Vi', 'Nidalee', 'Kayn']","['38', '38', '39', '39', '40']",JUNGLE
Twitch,PLATINUM_PLUS,5,"['Zed', 'Shyvana', 'Jax', 'Poppy', 'Sejuani']","['29', '30', '32', '33', '33']",JUNGLE
Shen,PLATINUM_PLUS,5,"['Pantheon', ""Rek'Sai"", 'Wukong', 'Kayn', 'Brand']","['17', '25', '30', '33', '35']",JUNGLE
Quinn,PLATINUM_PLUS,4,"['Zac', 'Sejuani', 'Diana', 'Sylas', 'Lillia']","['25', '25', '29', '29', '29']",JUNGLE
Nasus,PLATINUM_PLUS,4,"['Trundle', 'Ivern', 'Fiddlesticks', 'Brand', 'Karthus']","['29', '30', '35', '37', '38']",JUNGLE
Garen,PLATINUM_PLUS,4,"['Volibear', 'Gragas', 'Ekko', 'Udyr', 'Lillia']","['33', '36', '37', '38', '41']",JUNGLE
Chogath,PLATINUM_PLUS,5,"['Udyr', 'Nidalee', 'Briar', 'Lillia', ""Kha'Zix""]","['30', '30', '35', '35', '36']",JUNGLE
Malphite,PLATINUM_PLUS,5,"['Elise', 'Ivern', 'Jax', 'Sylas', 'Fiddlesticks']","['18', '24', '24', '26', '28']",JUNGLE
Naafiri,PLATINUM_PLUS,5,"['Sejuani', 'Wukong', 'Talon', 'Trundle', ""Bel'Veth""]","['27', '29', '30', '32', '32']",JUNGLE
Taliyah,PLATINUM_PLUS,3,"['Ziggs', 'Annie', 'Akshan', 'Katarina', 'Anivia']","['42', '43', '44', '45', '45']",MID
Sylas,PLATINUM_PLUS,1,"['Taliyah', 'Naafiri', 'Akshan', 'Galio', 'Malzahar']","['47', '48', '49', '49', '49']",MID
Talon,PLATINUM_PLUS,10,[],[],MID
Galio,PLATINUM_PLUS,3,"['Swain', 'Naafiri', 'Brand', 'Anivia', 'Pantheon']","['43', '45', '46', '48', '48']",MID
Swain,PLATINUM_PLUS,3,"['Cassiopeia', 'Brand', 'Ziggs', 'Katarina']","['46', '47', '48', '48']",MID
Xerath,PLATINUM_PLUS,2,"['Fizz', 'Naafiri', 'Talon', 'Akshan', 'Sylas']","['47', '48', '48', '49', '50']",MID
Fizz,PLATINUM_PLUS,1,"['Lissandra', 'Kassadin', 'Sylas', 'Diana']","['47', '48', '50', '50']",MID
Singed,PLATINUM_PLUS,2,"['Cassiopeia', 'Vladimir', 'Anivia', 'Pantheon', 'Ryze']","['40', '41', '46', '47', '49']",MID
Riven,PLATINUM_PLUS,3,"['Twisted Fate', 'Lissandra', 'Ekko', 'Syndra', 'Qiyana']","['36', '38', '43', '43', '45']",MID
Syndra,PLATINUM_PLUS,1,"['Kassadin', 'Fizz', 'Xerath', 'Irelia', 'Katarina']","['46', '47', '48', '48', '48']",MID
Camille,PLATINUM_PLUS,3,"['Malphite', 'Vladimir', 'Twisted Fate', 'Pantheon', 'Zoe']","['31', '33', '37', '40', '40']",MID
Lux,PLATINUM_PLUS,2,"['Anivia', 'Xerath', 'Talon', 'Tristana', 'Ekko']","['46', '46', '48', '48', '48']",MID
Zac,PLATINUM_PLUS,3,"['Galio', 'Vex', 'Aurelion Sol', 'Cassiopeia', 'Rumble']","['41', '42', '42', '43', '44']",MID
Tryndamere,PLATINUM_PLUS,3,"['Naafiri', 'Tristana', 'Malphite', 'Vladimir', 'Aurelion Sol']","['35', '39', '41', '42', '43']",MID
TwistedFate,PLATINUM_PLUS,2,"['Diana', 'Swain', 'Kassadin', 'Xerath', 'Fizz']","['47', '47', '48', '48', '48']",MID
Irelia,PLATINUM_PLUS,2,"['Malphite', 'Galio', 'Vladimir', 'Anivia', 'Sylas']","['46', '47', '47', '48', '48']",MID
Vladimir,PLATINUM_PLUS,2,"['Malzahar', 'Brand', 'Swain', 'Annie', 'Kassadin']","['43', '47', '48', '48', '48']",MID
