rank,champion_name,tier,lane,win_rate,pick_rate,ban_rate,pbi,games_played,tier_rank
59,Shen,C-,support,52.26,0.24,0.17,0,907,master
60,Hwei,C-,support,44.68,1.80,29.61,-24,6739,master
61,Nunu,D+,support,43.23,0.09,0.58,-1,347,master
62,Cho'Gath,D+,support,51.20,0.07,0.20,0,250,master
63,Ziggs,D+,support,50.61,0.09,3.13,0,326,master
64,Caitlyn,D,support,41.39,0.23,7.19,-3,877,master
65,Sett,D,support,48.56,0.21,0.64,-1,797,master
66,Rammus,D-,support,44.92,0.05,4.70,0,187,master
67,Veigar,D-,support,49.30,0.13,0.44,-1,501,master
68,Miss Fortune,D-,support,44.25,0.14,0.18,-1,522,master
1,Jax,S+,top,52.48,11.48,27.46,11,115986,diamond
2,Poppy,S+,top,53.74,1.92,5.17,4,19369,diamond
3,Riven,S,top,53.55,6.89,3.33,12,69619,diamond
4,Camille,S,top,53.35,6.19,2.82,10,62551,diamond
5,Olaf,S,top,53.83,2.49,2.00,5,25144,diamond
6,Darius,S,top,52.31,6.79,13.92,4,68540,diamond
7,Fiora,S-,top,52.47,6.29,12.45,5,63571,diamond
8,Singed,S-,top,53.87,1.90,0.43,4,19156,diamond
9,Rengar,S-,top,52.98,1.03,6.52,1,10386,diamond
10,Irelia,S-,top,52.00,4.47,11.18,1,45127,diamond
11,Tryndamere,A+,top,52.84,2.61,2.45,3,26383,diamond
12,Vayne,A+,top,53.19,1.29,10.12,2,12995,diamond
13,Ornn,A+,top,53.07,4.16,0.60,5,42068,diamond
14,K'Sante,A+,top,51.38,5.32,7.60,-2,53705,diamond
15,Quinn,A+,top,53.69,1.50,1.15,3,15178,diamond
16,Illaoi,A,top,52.52,3.88,8.18,3,39238,diamond
17,Zac,A,top,53.23,0.89,2.06,1,9035,diamond
18,Sylas,A,top,51.05,1.08,22.15,-1,10919,diamond
19,Aatrox,A,top,51.07,14.95,13.64,-13,151047,diamond
20,Cassiopeia,A,top,52.66,0.48,1.24,0,4837,diamond
21,Akshan,A,top,53.46,0.60,5.61,1,6102,diamond
22,Neeko,A,top,55.09,0.18,4.79,1,1779,diamond
23,Swain,A,top,53.60,0.37,1.16,1,3726,diamond
24,Nasus,A-,top,53.26,3.54,3.56,5,35747,diamond
25,Malphite,A-,top,53.32,5.83,11.89,10,58893,diamond
26,Urgot,A-,top,52.90,1.93,0.28,2,19461,diamond
27,Vladimir,A-,top,52.05,1.02,4.47,0,10339,diamond
28,Pantheon,A-,top,51.44,2.62,2.56,-1,26474,diamond
29,Kayle,A-,top,53.53,2.51,0.95,4,25367,diamond
30,Kassadin,A-,top,53.91,0.07,5.89,0,703,diamond
31,Kled,A-,top,52.70,1.70,0.67,2,17164,diamond
32,Gwen,B+,top,51.64,3.91,2.57,-1,39485,diamond
33,Annie,B+,top,56.31,0.05,0.32,0,499,diamond
34,Warwick,B+,top,53.72,1.27,0.52,2,12830,diamond
35,Tahm Kench,B+,top,52.73,1.62,0.78,2,16350,diamond
36,Garen,B+,top,52.12,5.49,3.49,2,55446,diamond
37,Maokai,B+,top,53.53,0.66,0.72,1,6691,diamond
38,Trundle,B+,top,53.07,7.20,15.95,11,72736,diamond
39,Naafiri,B+,top,53.27,0.18,1.88,0,1789,diamond
40,Gnar,B+,top,51.50,3.40,0.61,-1,34331,diamond
41,Aurelion Sol,B,top,53.72,0.06,0.78,0,646,diamond
42,Zed,B,top,50.79,0.29,21.39,0,2894,diamond
43,Udyr,B,top,51.81,0.82,0.99,0,8242,diamond
44,Renekton,B,top,50.24,5.91,5.38,-10,59739,diamond
45,Shen,B,top,52.23,2.04,0.19,1,20600,diamond
46,Gangplank,B,top,51.64,3.63,3.00,-1,36658,diamond
47,Kennen,B,top,50.90,1.70,1.10,-2,17149,diamond
48,Lissandra,B,top,53.30,0.13,1.60,0,1319,diamond
49,Gragas,B,top,50.90,1.64,1.16,-1,16612,diamond
50,Teemo,B,top,51.77,1.65,1.61,0,16683,diamond
51,Azir,B,top,51.18,0.19,0.79,0,1950,diamond
52,Heimerdinger,B,top,51.29,0.41,1.00,0,4124,diamond
53,Rumble,B-,top,50.31,2.56,2.88,-4,25835,diamond
54,Jayce,B-,top,49.29,7.01,4.80,-18,70800,diamond
55,Cho'Gath,B-,top,52.04,1.39,0.29,0,14090,diamond
56,Fiddlesticks,B-,top,52.07,0.14,4.32,0,1446,diamond
57,Varus,B-,top,50.08,1.34,5.40,-2,13513,diamond
58,Sett,B-,top,51.09,3.75,0.96,-3,37924,diamond
59,Volibear,B-,top,51.45,3.35,1.02,-1,33859,diamond
60,Ahri,B-,top,51.51,0.16,1.75,0,1625,diamond
61,Anivia,B-,top,52.30,0.12,1.82,0,1216,diamond
62,Dr. Mundo,C+,top,51.87,1.75,0.67,0,17633,diamond
63,Akali,C+,top,49.92,3.07,17.26,-7,31040,diamond
64,Yone,C+,top,49.58,9.90,28.97,-31,100026,diamond
65,Ryze,C+,top,50.96,0.46,0.13,0,4606,diamond
66,Mordekaiser,C+,top,51.11,3.44,3.08,-2,34715,diamond
67,Yasuo,C+,top,49.53,1.84,16.20,-5,18606,diamond
68,Rek'Sai,C+,top,51.03,0.04,1.39,0,435,diamond
69,Zilean,C+,top,51.40,0.07,0.72,0,677,diamond
70,Master Yi,C,top,50.08,0.24,7.90,0,2412,diamond
71,Qiyana,C,top,49.67,0.12,0.69,0,1212,diamond
72,Lillia,C,top,51.54,0.14,1.59,0,1428,diamond
73,Kalista,C,top,48.31,0.13,4.17,0,1333,diamond
74,Tristana,C,top,50.75,0.09,0.68,0,869,diamond
75,LeBlanc,C,top,49.48,0.13,8.53,0,1350,diamond
76,Graves,C,top,48.56,0.32,18.62,-1,3219,diamond
77,Malzahar,C,top,51.42,0.18,2.94,0,1801,diamond
78,Karma,C-,top,48.88,0.20,2.02,-1,2005,diamond
79,Galio,C-,top,49.61,0.11,0.25,0,1149,diamond
80,Briar,C-,top,49.43,0.12,28.03,0,1226,diamond
81,Wukong,C-,top,51.33,0.65,0.30,0,6561,diamond
82,Rammus,C-,top,51.03,0.22,6.96,0,2236,diamond
83,Xin Zhao,D+,top,50.80,0.18,0.17,0,1813,diamond
84,Kayn,D+,top,48.19,0.21,9.72,-1,2123,diamond
85,Sion,D+,top,49.79,3.04,1.05,-6,30693,diamond
86,Sejuani,D+,top,49.89,0.18,0.20,0,1770,diamond
87,Shaco,D,top,47.85,0.14,14.96,-1,1396,diamond
88,Skarner,D,top,48.32,0.14,0.07,0,1395,diamond
89,Shyvana,D,top,49.95,0.27,0.15,-1,2729,diamond
90,Viktor,D,top,49.28,0.12,1.47,0,1185,diamond
91,Veigar,D-,top,49.27,0.09,0.75,0,956,diamond
92,Yorick,D-,top,49.50,1.39,1.52,-3,14079,diamond
93,Corki,D-,top,47.83,0.03,0.08,0,322,diamond
1,Bel'Veth,S+,jungle,53.07,5.18,8.55,7,53146,diamond
2,Hecarim,S,jungle,52.48,6.87,7.80,5,70416,diamond
3,Taliyah,S,jungle,52.51,4.65,4.31,3,47683,diamond
4,Karthus,S,jungle,52.76,3.32,5.36,3,34014,diamond
5,Briar,S-,jungle,53.40,5.06,28.03,11,51903,diamond
6,Master Yi,S-,jungle,53.44,4.91,7.90,9,50344,diamond
7,Kha'Zix,A+,jungle,52.47,9.07,7.13,7,92987,diamond
8,Kindred,A+,jungle,52.94,2.99,2.49,3,30657,diamond
9,Ekko,A+,jungle,52.61,5.92,2.67,5,60736,diamond
10,Kayn,A+,jungle,52.15,8.41,9.72,3,86257,diamond
11,Graves,A,jungle,52.00,15.12,18.62,4,155005,diamond
12,Rengar,A,jungle,52.40,3.52,6.52,2,36101,diamond
13,Nocturne,A,jungle,53.64,8.72,15.69,19,89423,diamond
14,Evelynn,A,jungle,53.55,4.56,11.42,9,46774,diamond
15,Ivern,A,jungle,53.35,2.29,1.76,4,23508,diamond
16,Jax,A-,jungle,51.91,1.03,27.46,0,10608,diamond
17,Lee Sin,A-,jungle,50.93,19.37,14.59,-20,198672,diamond
18,Rek'Sai,A-,jungle,53.50,1.89,1.39,3,19407,diamond
19,Fiddlesticks,A-,jungle,53.74,3.19,4.32,6,32733,diamond
20,Shaco,A-,jungle,53.12,4.42,14.96,7,45348,diamond
21,Zac,A-,jungle,52.32,3.59,2.06,2,36784,diamond
22,Poppy,B+,jungle,51.50,2.69,5.17,-1,27575,diamond
23,Nidalee,B+,jungle,51.70,5.21,5.36,-1,53467,diamond
24,Rammus,B+,jungle,54.28,2.50,6.96,7,25688,diamond
25,Gragas,B+,jungle,52.04,3.54,1.16,1,36337,diamond
26,Talon,B+,jungle,52.24,2.49,3.66,1,25523,diamond
27,Nunu,B+,jungle,52.30,2.43,0.44,1,24927,diamond
28,Brand,B,jungle,51.85,4.78,4.49,0,48977,diamond
29,Rumble,B,jungle,52.60,0.51,2.88,0,5217,diamond
30,Viego,B,jungle,50.37,7.12,1.44,-10,73024,diamond
31,Warwick,B,jungle,52.88,1.50,0.52,2,15433,diamond
32,Udyr,B,jungle,51.95,1.78,0.99,0,18298,diamond
33,Diana,B,jungle,51.72,3.73,1.27,0,38234,diamond
34,Pantheon,B,jungle,51.52,0.47,2.56,0,4798,diamond
35,Elise,B,jungle,51.65,2.44,2.02,0,25047,diamond
36,Rell,B-,jungle,51.47,0.43,3.58,0,4399,diamond
37,Trundle,B-,jungle,53.32,0.77,15.95,1,7884,diamond
38,Maokai,B-,jungle,51.90,2.34,0.72,0,24006,diamond
39,Lillia,B-,jungle,52.18,2.90,1.59,1,29732,diamond
40,Jarvan IV,B-,jungle,50.40,8.15,6.77,-12,83587,diamond
41,Sylas,B-,jungle,49.45,2.81,22.15,-8,28844,diamond
42,Gwen,C+,jungle,51.41,0.58,2.57,0,5900,diamond
43,Skarner,C+,jungle,51.45,0.49,0.07,0,5063,diamond
44,Xin Zhao,C+,jungle,51.81,1.99,0.17,0,20387,diamond
45,Neeko,C+,jungle,51.29,0.14,4.79,0,1429,diamond
46,Volibear,C+,jungle,51.50,0.43,1.02,0,4414,diamond
47,Olaf,C+,jungle,50.30,0.19,2.00,0,1986,diamond
48,Vi,C,jungle,50.52,4.33,1.06,-6,44450,diamond
49,Qiyana,C,jungle,49.31,0.48,0.69,-1,4914,diamond
50,Zed,C,jungle,48.38,0.65,21.39,-3,6631,diamond
51,Amumu,C,jungle,50.71,1.52,0.53,-2,15549,diamond
52,Sejuani,C,jungle,49.79,2.02,0.20,-4,20680,diamond
53,Shyvana,C-,jungle,50.53,1.02,0.15,-1,10494,diamond
54,Sion,C-,jungle,48.44,0.07,1.05,0,737,diamond
55,Singed,C-,jungle,44.68,0.05,0.43,0,526,diamond
56,Mordekaiser,C-,jungle,49.77,0.21,3.08,0,2166,diamond
57,Morgana,D+,jungle,50.00,0.28,16.29,-1,2852,diamond
58,Taric,D+,jungle,45.61,0.06,0.19,0,649,diamond
59,Zyra,D,jungle,47.08,0.11,4.28,-1,1113,diamond
60,Teemo,D,jungle,47.53,0.20,1.61,-1,2041,diamond
61,Wukong,D,jungle,48.46,1.40,0.30,-5,14390,diamond
62,Dr. Mundo,D-,jungle,46.59,0.06,0.67,0,659,diamond
63,Naafiri,D-,jungle,40.09,0.04,1.88,-1,449,diamond
1,Talon,S+,middle,54.61,4.42,3.66,13,44878,diamond
2,Sylas,S+,middle,52.48,11.60,22.15,10,117832,diamond
3,Taliyah,S,middle,53.70,1.33,4.31,3,13563,diamond
4,Akshan,S,middle,54.44,2.82,5.61,8,28621,diamond
5,Katarina,S,middle,53.17,5.67,5.84,8,57580,diamond
6,Syndra,S,middle,51.76,10.83,11.80,0,110065,diamond
7,Yasuo,S-,middle,51.74,7.61,16.20,-1,77289,diamond
8,Fizz,S-,middle,54.50,4.95,7.43,14,50307,diamond
9,Vladimir,S-,middle,53.32,3.75,4.47,6,38090,diamond
10,Galio,S-,middle,53.87,2.27,0.25,5,23046,diamond
11,Twisted Fate,A+,middle,53.57,5.11,0.35,9,51967,diamond
12,Qiyana,A+,middle,53.19,2.68,0.69,4,27267,diamond
13,Camille,A+,middle,54.58,0.18,2.82,1,1812,diamond
14,Singed,A+,middle,55.63,0.46,0.43,2,4681,diamond
15,Ekko,A+,middle,52.69,2.62,2.67,2,26574,diamond
16,Riven,A,middle,54.07,0.32,3.33,1,3266,diamond
17,Irelia,A,middle,52.66,4.12,11.18,4,41847,diamond
18,Anivia,A,middle,54.61,2.22,1.82,6,22561,diamond
19,Kassadin,A,middle,54.06,3.21,5.89,8,32603,diamond
20,Swain,A,middle,54.36,1.05,1.16,3,10661,diamond
21,Xerath,A,middle,53.22,4.10,11.78,7,41703,diamond
22,Kennen,A,middle,55.66,0.38,1.10,2,3911,diamond
23,Akali,A,middle,51.31,8.99,17.26,-5,91383,diamond
24,Tryndamere,A-,middle,53.55,0.35,2.45,1,3602,diamond
25,Zed,A-,middle,51.09,6.71,21.39,-6,68194,diamond
26,Cassiopeia,A-,middle,52.50,1.58,1.24,1,16028,diamond
27,Lux,A-,middle,52.56,3.21,3.67,3,32660,diamond
28,Brand,A-,middle,53.56,0.65,4.49,1,6574,diamond
29,Vex,A-,middle,54.18,3.37,3.28,8,34239,diamond
30,Quinn,A-,middle,54.83,0.17,1.15,1,1738,diamond
31,Zoe,A-,middle,52.64,2.54,1.35,2,25825,diamond
32,Neeko,B+,middle,53.22,2.26,4.79,3,22926,diamond
33,Gragas,B+,middle,53.18,0.54,1.16,1,5442,diamond
34,Heimerdinger,B+,middle,54.57,0.23,1.00,1,2342,diamond
35,Pantheon,B+,middle,53.00,1.64,2.56,2,16683,diamond
36,Annie,B+,middle,54.10,1.25,0.32,3,12728,diamond
37,Jayce,B+,middle,50.54,4.01,4.80,-5,40770,diamond
38,Orianna,B+,middle,50.69,11.03,16.05,-15,112069,diamond
39,Zilean,B+,middle,54.11,0.26,0.72,1,2606,diamond
40,Fiddlesticks,B+,middle,55.28,0.16,4.32,1,1581,diamond
41,Aurelion Sol,B,middle,53.65,1.93,0.78,4,19645,diamond
42,Zac,B,middle,53.18,0.22,2.06,0,2234,diamond
43,Gwen,B,middle,55.22,0.11,2.57,0,1159,diamond
44,Diana,B,middle,53.90,1.59,1.27,3,16194,diamond
45,Lissandra,B,middle,53.43,3.68,1.60,6,37378,diamond
46,Illaoi,B,middle,53.61,0.10,8.18,0,983,diamond
47,Aatrox,B,middle,52.26,0.50,13.64,0,5071,diamond
48,Rumble,B,middle,53.21,0.70,2.88,1,7078,diamond
49,Nasus,B,middle,53.94,0.47,3.56,1,4770,diamond
50,Yone,B,middle,50.47,7.84,28.97,-15,79625,diamond
51,Kled,B,middle,54.38,0.15,0.67,0,1484,diamond
52,Naafiri,B-,middle,53.04,1.08,1.88,1,10925,diamond
53,LeBlanc,B-,middle,51.30,4.43,8.53,-2,44972,diamond
54,Tristana,B-,middle,53.48,1.13,0.68,2,11438,diamond
55,Renekton,B-,middle,52.25,0.46,5.38,0,4670,diamond
56,Twitch,B-,middle,53.16,0.24,4.19,0,2470,diamond
57,Viktor,B-,middle,52.69,4.09,1.47,4,41509,diamond
58,Ahri,B-,middle,51.72,6.71,1.75,-1,68204,diamond
59,Azir,B-,middle,50.42,3.88,0.79,-5,39378,diamond
60,Tahm Kench,B-,middle,54.03,0.08,0.78,0,794,diamond
61,Garen,C+,middle,53.41,0.39,3.49,1,3915,diamond
62,Malphite,C+,middle,53.24,0.75,11.89,1,7647,diamond
63,Pyke,C+,middle,51.56,0.18,13.62,0,1794,diamond
64,Veigar,C+,middle,52.43,2.41,0.75,2,24513,diamond
65,Shen,C+,middle,53.86,0.05,0.19,0,544,diamond
66,Malzahar,C+,middle,52.51,2.73,2.94,2,27706,diamond
67,Xin Zhao,C+,middle,54.50,0.07,0.17,0,756,diamond
68,Vel'Koz,C+,middle,52.68,0.84,0.25,1,8550,diamond
69,Morgana,C+,middle,54.15,0.26,16.29,1,2591,diamond
70,Karthus,C,middle,50.38,0.20,5.36,0,1989,diamond
71,Sion,C,middle,52.79,0.33,1.05,0,3311,diamond
72,Sett,C,middle,52.99,0.24,0.96,0,2423,diamond
73,Ryze,C,middle,50.88,1.32,0.13,-1,13440,diamond
74,Varus,C,middle,50.16,0.29,5.40,0,2901,diamond
75,Viego,C,middle,49.42,0.19,1.44,0,1910,diamond
76,Gangplank,C,middle,51.73,0.34,3.00,0,3418,diamond
77,Karma,C-,middle,50.74,0.17,2.02,0,1750,diamond
78,Nunu,C-,middle,50.64,0.44,0.44,-1,4431,diamond
79,Hwei,C-,middle,42.95,11.54,29.97,-146,117276,diamond
80,K'Sante,C-,middle,49.08,0.35,7.60,-1,3539,diamond
81,Urgot,C-,middle,51.86,0.06,0.28,0,646,diamond
82,Seraphine,D+,middle,50.51,0.33,0.48,0,3340,diamond
83,Corki,D+,middle,51.54,0.86,0.08,0,8692,diamond
84,Ziggs,D+,middle,51.18,0.82,3.35,-1,8316,diamond
85,Mordekaiser,D+,middle,52.35,0.19,3.08,0,1937,diamond
86,Kayle,D,middle,51.78,0.28,0.95,0,2833,diamond
87,Cho'Gath,D,middle,51.03,0.53,0.29,0,5365,diamond
88,Shyvana,D,middle,52.86,0.04,0.15,0,454,diamond
89,Kog'Maw,D,middle,50.04,0.13,0.23,0,1309,diamond
90,Wukong,D-,middle,49.56,0.06,0.30,0,565,diamond
91,Teemo,D-,middle,47.85,0.09,1.61,0,953,diamond
92,Yorick,D-,middle,48.36,0.07,1.52,0,672,diamond
1,Vayne,S+,bottom,54.20,10.24,10.12,27,105265,diamond
2,Karthus,S,bottom,54.52,0.56,5.36,2,5726,diamond
3,Yasuo,S-,bottom,53.35,1.32,16.20,2,13549,diamond
4,Draven,S-,bottom,52.45,6.48,20.45,5,66631,diamond
5,Ezreal,A+,bottom,52.25,25.45,13.84,13,261635,diamond
6,Ashe,A+,bottom,53.19,9.14,7.91,14,93920,diamond
7,Jhin,A,bottom,52.58,15.08,1.36,12,155028,diamond
8,Twitch,A,bottom,53.63,5.73,4.19,11,58917,diamond
9,Jinx,A,bottom,52.33,11.11,1.09,6,114223,diamond
10,Swain,A-,bottom,54.81,0.80,1.16,2,8237,diamond
11,Cassiopeia,A-,bottom,53.26,0.20,1.24,0,2043,diamond
12,Brand,A-,bottom,53.64,0.30,4.49,1,3102,diamond
13,Heimerdinger,B+,bottom,54.46,0.14,1.00,0,1458,diamond
14,Tahm Kench,B+,bottom,57.05,0.35,0.78,2,3565,diamond
15,Seraphine,B+,bottom,54.08,1.34,0.48,3,13771,diamond
16,Kalista,B+,bottom,50.82,4.28,4.17,-4,43954,diamond
17,Ziggs,B,bottom,53.18,2.35,3.35,3,24154,diamond
18,Lucian,B,bottom,52.71,15.42,6.01,15,158472,diamond
19,Xayah,B,bottom,50.50,8.62,3.98,-12,88580,diamond
20,Aurelion Sol,B,bottom,54.52,0.10,0.78,0,1040,diamond
21,Samira,B-,bottom,51.84,7.62,15.82,0,78322,diamond
22,Varus,B-,bottom,50.60,12.19,5.40,-15,125308,diamond
23,Nilah,B-,bottom,52.62,1.74,3.41,1,17840,diamond
24,Caitlyn,B-,bottom,51.06,13.52,10.08,-11,138973,diamond
25,Tristana,C+,bottom,52.39,2.80,0.68,2,28820,diamond
26,Cho'Gath,C+,bottom,55.44,0.11,0.29,0,1131,diamond
27,Kog'Maw,C+,bottom,53.41,1.28,0.23,2,13159,diamond
28,Veigar,C,bottom,53.72,0.48,0.75,1,4972,diamond
29,Miss Fortune,C,bottom,52.62,4.53,0.50,4,46608,diamond
30,Kai'Sa,C,bottom,49.41,21.25,4.66,-53,218450,diamond
31,Aphelios,C-,bottom,48.88,5.74,0.63,-17,58997,diamond
32,Akshan,C-,bottom,52.35,0.09,5.61,0,957,diamond
33,Hwei,D+,bottom,46.14,0.76,29.97,-6,7779,diamond
34,Sivir,D+,bottom,51.27,3.26,0.87,-2,33473,diamond
35,Zeri,D,bottom,50.03,3.38,0.50,-6,34704,diamond
36,Vel'Koz,D-,bottom,50.69,0.06,0.25,0,653,diamond
37,Corki,D-,bottom,50.77,0.03,0.08,0,323,diamond
1,Rakan,S+,support,53.04,11.62,7.01,16,116539,diamond
2,Janna,S+,support,53.19,8.36,3.11,12,83857,diamond
3,Senna,S,support,52.92,10.78,10.92,14,108200,diamond
4,Bard,S,support,52.75,5.24,0.66,5,52534,diamond
5,Thresh,S-,support,52.00,13.79,5.53,3,138326,diamond
6,Poppy,S-,support,54.19,0.44,5.17,1,4377,diamond
7,Blitzcrank,S-,support,52.98,9.06,35.70,17,90890,diamond
8,Taliyah,A+,support,53.11,0.21,4.31,0,2090,diamond
9,Pyke,A+,support,52.29,7.30,13.62,4,73219,diamond
10,Zyra,A+,support,54.00,4.35,4.28,10,43661,diamond
11,Ivern,A+,support,53.80,0.14,1.76,0,1357,diamond
12,Taric,A,support,55.23,1.37,0.19,5,13767,diamond
13,Sylas,A,support,51.52,0.99,22.15,0,9925,diamond
14,Zilean,A,support,53.42,2.58,0.72,4,25859,diamond
15,Xerath,A,support,52.68,5.79,11.78,6,58084,diamond
16,Soraka,A,support,52.65,5.46,2.05,5,54795,diamond
17,Alistar,A,support,51.80,5.41,2.56,0,54317,diamond
18,Zac,A-,support,52.56,0.65,2.06,1,6533,diamond
19,Lux,A-,support,51.52,6.10,3.67,-2,61159,diamond
20,Neeko,A-,support,52.86,1.95,4.79,2,19533,diamond
21,Maokai,A-,support,54.23,1.63,0.72,4,16331,diamond
22,Kennen,A-,support,53.41,0.09,1.10,0,865,diamond
23,Sona,A-,support,53.07,2.20,0.07,3,22031,diamond
24,Leona,B+,support,52.93,5.26,2.59,6,52731,diamond
25,Rell,B+,support,51.67,4.02,3.58,-1,40336,diamond
26,Elise,B+,support,54.84,0.08,2.02,0,764,diamond
27,Nautilus,B+,support,50.40,10.43,17.27,-18,104616,diamond
28,LeBlanc,B+,support,52.15,0.54,8.53,0,5407,diamond
29,Nami,B+,support,51.92,6.72,0.27,1,67421,diamond
30,Renata Glasc,B,support,51.80,4.32,1.70,0,43385,diamond
31,Zoe,B,support,51.97,0.34,1.35,0,3377,diamond
32,Brand,B,support,51.65,2.48,4.49,0,24873,diamond
33,Annie,B,support,53.54,0.39,0.32,1,3868,diamond
34,Shaco,B,support,52.38,1.19,14.96,1,11903,diamond
35,Milio,B,support,51.69,6.75,2.28,-1,67737,diamond
36,Fiddlesticks,B,support,52.76,0.50,4.32,1,5053,diamond
37,Heimerdinger,B,support,51.63,1.03,1.00,0,10321,diamond
38,Galio,B,support,52.22,0.38,0.25,0,3782,diamond
39,Twitch,B-,support,51.74,0.86,4.19,0,8654,diamond
40,Seraphine,B-,support,51.21,2.16,0.48,-1,21674,diamond
41,Swain,B-,support,50.35,1.84,1.16,-3,18479,diamond
42,Vel'Koz,B-,support,52.48,1.68,0.25,1,16884,diamond
43,Teemo,B-,support,52.46,0.25,1.61,0,2539,diamond
44,Lulu,B-,support,50.79,7.80,5.07,-8,78248,diamond
45,Morgana,C+,support,51.83,3.81,16.29,0,38206,diamond
46,Braum,C+,support,51.61,3.42,0.64,-1,34296,diamond
47,Amumu,C+,support,52.08,0.63,0.53,0,6311,diamond
48,Sion,C+,support,51.66,0.09,1.05,0,875,diamond
49,Rumble,C+,support,48.43,0.08,2.88,0,828,diamond
50,Gragas,C+,support,49.77,0.22,1.16,0,2166,diamond
51,Pantheon,C+,support,49.71,1.23,2.56,-3,12353,diamond
52,Karma,C,support,49.40,7.38,2.02,-18,74059,diamond
53,Camille,C,support,47.75,0.24,2.82,-1,2425,diamond
54,Lissandra,C,support,51.06,0.34,1.60,0,3388,diamond
55,Yuumi,C,support,50.09,5.72,5.31,-10,57344,diamond
56,Ashe,C,support,49.07,4.95,7.91,-15,49656,diamond
57,Tahm Kench,C-,support,50.49,0.61,0.78,-1,6110,diamond
58,Shen,C-,support,50.00,0.19,0.19,0,1954,diamond
59,Anivia,C-,support,49.81,0.24,1.82,0,2367,diamond
60,Hwei,C-,support,41.62,2.21,29.97,-32,22217,diamond
61,Singed,D+,support,46.11,0.07,0.43,0,733,diamond
62,Nunu,D+,support,42.34,0.09,0.44,-1,888,diamond
63,Cho'Gath,D+,support,49.72,0.09,0.29,0,901,diamond
64,Ziggs,D,support,48.50,0.20,3.35,-1,2029,diamond
65,Sett,D,support,48.66,0.25,0.96,-1,2460,diamond
66,Vex,D-,support,48.35,0.08,3.28,0,819,diamond
67,Veigar,D-,support,47.09,0.25,0.75,-1,2489,diamond
68,Miss Fortune,D-,support,42.34,0.24,0.50,-2,2423,diamond
1,Jax,S+,top,51.39,10.76,23.29,2,346255,emerald
2,Poppy,S+,top,52.67,1.41,3.65,2,45245,emerald
3,Vayne,S,top,52.77,1.39,10.39,2,44607,emerald
4,Camille,S,top,51.92,5.10,2.37,3,164036,emerald
5,Fiora,S,top,52.05,5.70,9.92,5,183495,emerald
6,Singed,S,top,53.55,1.74,0.41,4,55842,emerald
7,Ornn,S-,top,53.37,3.39,0.69,7,109159,emerald
8,Riven,S-,top,51.58,6.07,2.14,2,195493,emerald
9,Rengar,S-,top,52.05,0.81,3.15,1,26142,emerald
10,Darius,S-,top,51.49,7.26,16.02,2,233690,emerald
11,Illaoi,A+,top,53.05,4.56,11.34,9,146676,emerald
12,Olaf,A+,top,52.60,2.08,1.78,3,67092,emerald
13,Zac,A+,top,53.20,0.70,1.81,1,22407,emerald
14,Sylas,A+,top,51.03,1.00,22.28,0,32311,emerald
15,Aatrox,A+,top,50.92,13.15,14.09,-5,423281,emerald
16,Quinn,A,top,53.07,1.55,1.54,3,49973,emerald
17,Tryndamere,A,top,51.58,2.79,2.63,1,89923,emerald
18,Cassiopeia,A,top,52.45,0.33,1.23,0,10630,emerald
19,Nasus,A,top,53.76,4.60,5.22,12,148050,emerald
20,Irelia,A,top,51.11,4.17,11.36,-1,134340,emerald
21,Malphite,A,top,53.64,5.87,11.20,16,188773,emerald
22,Garen,A,top,53.08,6.95,5.36,13,223558,emerald
23,Urgot,A,top,52.74,1.92,0.46,3,61877,emerald
24,Akshan,A-,top,52.13,0.43,3.69,0,13923,emerald
25,Fiddlesticks,A-,top,53.85,0.15,2.99,0,4897,emerald
26,Kayle,A-,top,53.11,2.89,1.14,5,93105,emerald
27,Kled,A-,top,52.48,1.42,0.71,2,45672,emerald
28,Qiyana,A-,top,51.34,0.07,0.44,0,2312,emerald
29,Swain,A-,top,52.03,0.36,2.23,0,11584,emerald
30,Tahm Kench,A-,top,52.32,2.17,1.47,2,69956,emerald
31,Warwick,A-,top,53.25,1.27,1.16,3,40801,emerald
32,Pantheon,B+,top,50.71,2.53,3.04,-1,81316,emerald
33,Trundle,B+,top,52.80,9.36,19.48,18,301076,emerald
34,Teemo,B+,top,51.81,2.95,4.08,2,94903,emerald
35,Gwen,B+,top,50.93,3.68,2.49,-1,118442,emerald
36,Maokai,B+,top,52.90,0.56,0.70,1,17957,emerald
37,Anivia,B+,top,52.83,0.08,1.53,0,2652,emerald
38,Azir,B+,top,51.33,0.15,0.73,0,4890,emerald
39,Shen,B+,top,51.82,1.91,0.23,1,61397,emerald
40,Gnar,B+,top,50.79,3.18,0.65,-2,102191,emerald
41,Sett,B,top,51.35,4.66,1.59,0,150092,emerald
42,Heimerdinger,B,top,51.27,0.51,0.94,0,16353,emerald
43,Kennen,B,top,50.16,1.57,0.79,-2,50520,emerald
44,Dr. Mundo,B,top,52.64,2.07,1.34,3,66700,emerald
45,Vladimir,B,top,50.41,0.82,4.08,-1,26343,emerald
46,Mordekaiser,B,top,52.00,4.17,5.35,3,134169,emerald
47,K'Sante,B,top,49.44,3.85,6.42,-8,123832,emerald
48,Cho'Gath,B,top,51.62,1.80,0.51,1,57853,emerald
49,Jayce,B,top,48.97,5.84,3.49,-14,188015,emerald
50,Udyr,B,top,50.89,0.59,1.04,0,18873,emerald
