grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,champion_name,tier,lane
2,"['nasus', 'zac', 'irelia', 'malphite', 'jax']","['46.28', '48.15', '48.8', '48.96', '49.05']","['22196', '1082', '11421', '12974', '22221']","['volibear', 'ksante', 'udyr', 'gangplank', 'darius']","['57.06', '56.74', '56.41', '56.38', '55.52']","['11848', '7873', '1248', '10588', '20957']",kayle,all,top
1,"['zac', 'drmundo', 'ornn', 'chogath', 'tahmkench']","['42.52', '43.92', '44.87', '45.35', '45.53']","['3300', '14181', '18122', '13299', '13424']","['vayne', 'tryndamere', 'pantheon', 'quinn', 'yasuo']","['59.35', '58.36', '56.53', '56.46', '56.26']","['10287', '23625', '13323', '10369', '13700']",malphite,all,top
5,"['kled', 'zac', 'illaoi', 'heimerdinger', 'poppy']","['40.77', '41.32', '41.39', '41.48', '42.75']","['932', '634', '3858', '687', '931']","['malphite', 'kennen', 'akali', 'gnar', 'ksante']","['53.74', '50.93', '50.62', '50.24', '50.19']","['24434', '2089', '4668', '3348', '2851']",sylas,all,top
3,"['heimerdinger', 'zac', 'singed', 'yorick', 'illaoi']","['44.63', '45.49', '45.51', '47.09', '47.24']","['1593', '987', '2964', '7637', '11988']","['malphite', 'tryndamere', 'kennen', 'pantheon', 'jayce']","['54.47', '54.42', '54.11', '53.85', '53.62']","['13421', '8533', '2373', '5443', '7136']",tahmkench,all,top
,"['olaf', 'varus', 'drmundo', 'singed', 'kled']","['44.32', '45.38', '45.58', '45.92', '46.22']","['828', '379', '939', '564', '476']","['yasuo', 'jayce', 'akali', 'malphite', 'gnar']","['58.21', '57.93', '56.88', '56.69', '56.3']","['981', '2168', '1505', '2609', '1254']",maokai,all,top
1,"['quinn', 'jax', 'gnar', 'udyr', 'teemo']","['47.93', '48.48', '49.09', '49.1', '49.12']","['18256', '114498', '34047', '5943', '44163']","['irelia', 'olaf', 'yasuo', 'yorick', 'yone']","['57.52', '56.71', '55.9', '55.46', '55.34']","['29122', '19516', '18010', '29906', '81455']",trundle,all,top
2,"['zac', 'sion', 'ornn', 'yorick', 'olaf']","['45.06', '45.14', '45.56', '46.08', '46.15']","['1529', '19168', '14817', '18372', '12930']","['vayne', 'renekton', 'volibear', 'varus', 'camille']","['58.07', '54.89', '54.37', '54.12', '53.84']","['7923', '13463', '15401', '4893', '13240']",teemo,all,top
3,"['malphite', 'zac', 'nasus', 'singed', 'tahmkench']","['41.63', '42.83', '44.36', '45.27', '45.61']","['23625', '1249', '18772', '4042', '8531']","['irelia', 'sylas', 'rumble', 'yasuo', 'yorick']","['55.49', '55.35', '54.35', '53.94', '53.37']","['9114', '2618', '5428', '6199', '13562']",tryndamere,all,top
4,"['heimerdinger', 'quinn', 'kayle', 'singed', 'vayne']","['45.65', '45.81', '46.48', '46.5', '46.59']","['736', '1194', '2685', '1402', '1730']","['irelia', 'sylas', 'gwen', 'yone', 'akali']","['56.52', '55.92', '55.26', '55.22', '54.37']","['4673', '903', '5527', '12018', '2619']",warwick,all,top
2,"['malphite', 'illaoi', 'garen', 'urgot', 'quinn']","['45.36', '45.5', '45.57', '46.42', '46.77']","['31256', '21980', '38904', '11489', '6341']","['yasuo', 'gwen', 'sylas', 'yone', 'akali']","['55.28', '54.83', '54.7', '54.19', '54.16']","['10855', '14087', '3565', '40572', '11521']",riven,all,top
,"['zac', 'trundle', 'kled', 'monkeyking', 'aatrox']","['35.8', '44.82', '46.04', '46.15', '46.85']","['81', '1466', '139', '65', '745']","['heimerdinger', 'akali', 'rumble', 'quinn', 'varus']","['62.5', '62.18', '58.33', '58.17', '55.22']","['88', '505', '312', '153', '134']",fiddlesticks,all,top
2,"['nasus', 'gwen', 'kled', 'trundle', 'illaoi']","['46.17', '46.64', '46.87', '47.09', '47.21']","['14108', '10989', '2639', '21743', '12058']","['kennen', 'renekton', 'chogath', 'gragas', 'malphite']","['59.04', '57.11', '56.88', '56.45', '56.12']","['3706', '9440', '7400', '1752', '14182']",drmundo,all,top
,"['heimerdinger', 'singed', 'tahmkench', 'irelia', 'drmundo']","['41.33', '45.28', '46.48', '47.28', '47.36']","['196', '265', '383', '717', '454']","['renekton', 'quinn', 'vayne', 'monkeyking', 'darius']","['58.04', '57.58', '56.82', '56', '55.35']","['684', '297', '352', '75', '1243']",neeko,all,top
5,"['kayle', 'kled', 'volibear', 'kennen', 'illaoi']","['43.52', '45.49', '45.85', '45.87', '46.02']","['1243', '554', '1819', '606', '2251']","['akali', 'sylas', 'yasuo', 'pantheon', 'fiora']","['55.68', '53.55', '53.23', '53.15', '51.95']","['1198', '493', '883', '967', '2466']",udyr,all,top
,"['nasus', 'warwick', 'malphite', 'singed', 'camille']","['43.1', '43.59', '44.48', '44.97', '45.21']","['3063', '569', '3867', '736', '2004']","['ksante', 'gwen', 'sylas', 'akali', 'mordekaiser']","['52.78', '52.41', '52.4', '52.34', '52.11']","['1580', '1555', '876', '1794', '2464']",zed,all,top
4,"['kayle', 'mordekaiser', 'illaoi', 'vayne', 'singed']","['45.34', '46', '46.55', '46.69', '46.69']","['5437', '11706', '8595', '2508', '2735']","['akali', 'gragas', 'yasuo', 'sylas', 'monkeyking']","['55.1', '54.41', '54.25', '53.41', '53.17']","['3951', '1384', '3604', '1889', '837']",shen,all,top
2,"['singed', 'heimerdinger', 'vayne', 'garen', 'illaoi']","['43.33', '46.41', '46.67', '46.67', '46.73']","['14587', '6432', '14466', '66227', '47077']","['sylas', 'sion', 'akali', 'rumble', 'drmundo']","['53.49', '52.81', '52.33', '52.1', '51.68']","['9921', '27591', '26547', '23987', '18336']",aatrox,all,top
2,"['singed', 'kayle', 'olaf', 'trundle', 'warwick']","['45.74', '46.36', '46.46', '46.51', '46.56']","['6172', '12466', '21577', '42873', '7846']","['ksante', 'shen', 'illaoi', 'rumble', 'malphite']","['54.58', '53.97', '53.82', '53.8', '53.65']","['11946', '11700', '41712', '7702', '30932']",mordekaiser,all,top
,"['rengar', 'gragas', 'nasus', 'yasuo', 'warwick']","['43.12', '45.14', '45.38', '45.76', '46.63']","['109', '175', '952', '507', '163']","['udyr', 'varus', 'akali', 'kled', 'volibear']","['56.84', '56.36', '55.58', '55.45', '55.27']","['95', '220', '547', '202', '550']",azir,all,top
,"['rengar', 'monkeyking', 'heimerdinger', 'irelia', 'quinn']","['32.69', '43.08', '45.18', '46.31', '46.37']","['52', '65', '166', '447', '179']","['udyr', 'rumble', 'illaoi', 'chogath', 'akali']","['61.22', '59.43', '59.1', '57.44', '56.77']","['49', '244', '670', '289', '347']",aurelionsol,all,top
4,"['nasus', 'yorick', 'malphite', 'zac', 'quinn']","['43.08', '43.8', '43.99', '44.28', '44.36']","['20089', '9469', '40888', '2570', '7002']","['akali', 'yone', 'rumble', 'heimerdinger', 'gwen']","['53.08', '52.12', '52.05', '51.87', '51.79']","['12561', '41344', '10629', '2653', '9504']",jayce,all,top
5,"['nasus', 'olaf', 'irelia', 'trundle', 'teemo']","['44.72', '44.78', '45.55', '45.81', '45.84']","['5308', '2722', '4619', '7415', '4889']","['vladimir', 'vayne', 'illaoi', 'darius', 'renekton']","['54.24', '53.76', '53.21', '53', '52.87']","['767', '2035', '7140', '7641', '4205']",varus,all,top
2,"['drmundo', 'kayle', 'vayne', 'quinn', 'yorick']","['44.23', '44.47', '45.23', '45.35', '45.71']","['25571', '20959', '15535', '12096', '23649']","['sylas', 'yasuo', 'gragas', 'rengar', 'poppy']","['54.47', '54', '53.67', '53.28', '52.75']","['5330', '15223', '5075', '3343', '6457']",darius,all,top
4,"['drmundo', 'trundle', 'ornn', 'fiora', 'singed']","['43.1', '45.18', '45.86', '45.86', '46.6']","['7392', '17189', '5947', '9948', '2820']","['yasuo', 'kennen', 'malphite', 'pantheon', 'akali']","['55.43', '54.64', '54.63', '54.32', '54.31']","['4862', '2059', '13303', '4435', '4036']",chogath,all,top
5,"['kayle', 'fiora', 'garen', 'singed', 'illaoi']","['43.23', '44.01', '44.15', '44.21', '44.64']","['7865', '17027', '24454', '3918', '13357']","['gragas', 'jayce', 'rengar', 'yasuo', 'rumble']","['52.67', '52.41', '51.37', '50.97', '50.3']","['2468', '15429', '2256', '6251', '5513']",ksante,all,top
,"['varus', 'rengar', 'gangplank', 'riven', 'fiora']","['42.08', '43.28', '44.37', '45.01', '45.6']","['259', '134', '737', '1113', '1250']","['volibear', 'udyr', 'warwick', 'ksante', 'mordekaiser']","['56.15', '56.05', '55.64', '55.43', '54.75']","['1236', '157', '381', '911', '1715']",lillia,all,top
3,"['trundle', 'warwick', 'zac', 'nasus', 'tryndamere']","['42.48', '43.48', '44.22', '44.38', '44.51']","['29128', '4673', '1922', '15640', '9122']","['heimerdinger', 'jayce', 'rumble', 'varus', 'kennen']","['56.75', '54.63', '54.49', '54.48', '53.89']","['3045', '26611', '7618', '4620', '5804']",irelia,all,top
,"['rengar', 'poppy', 'zac', 'drmundo', 'chogath']","['36.36', '36.84', '38.46', '39.35', '39.85']","['44', '95', '39', '155', '133']","['sylas', 'gnar', 'gwen', 'heimerdinger', 'kled']","['58.59', '57.36', '57.08', '56.67', '55.1']","['128', '197', '212', '60', '98']",qiyana,all,top
3,"['trundle', 'kled', 'kayle', 'tryndamere', 'riven']","['44.55', '45.15', '45.93', '46.63', '46.92']","['29908', '3781', '10477', '13571', '12433']","['jayce', 'heimerdinger', 'pantheon', 'gragas', 'ksante']","['56.18', '55.57', '55.54', '55.37', '55.16']","['9465', '2793', '7099', '2084', '6749']",yorick,all,top
,"['zac', 'kled', 'tryndamere', 'yasuo', 'tahmkench']","['37.84', '43.75', '44.21', '45.37', '45.83']","['37', '96', '190', '216', '168']","['gragas', 'kennen', 'varus', 'warwick', 'udyr']","['62.69', '62.62', '60.36', '57.97', '56.1']","['67', '107', '111', '69', '41']",anivia,all,top
,"['warwick', 'olaf', 'monkeyking', 'rengar', 'jax']","['40.22', '41.24', '41.86', '43.59', '44.01']","['92', '194', '43', '39', '709']","['akali', 'heimerdinger', 'vladimir', 'volibear', 'sylas']","['54.91', '54.81', '54.18', '54.07', '53.57']","['479', '104', '275', '270', '196']",kassadin,all,top
,"['tahmkench', 'poppy', 'zac', 'heimerdinger', 'yorick']","['36.54', '38.05', '40', '40.57', '41.69']","['208', '113', '85', '106', '307']","['gnar', 'yone', 'jayce', 'irelia', 'aatrox']","['54.51', '52.24', '52.17', '51.89', '51.76']","['266', '1049', '575', '476', '1107']",leblanc,all,top
,"['singed', 'warwick', 'poppy', 'irelia', 'olaf']","['42.74', '44.1', '44.74', '45.13', '45.69']","['365', '288', '266', '935', '499']","['tahmkench', 'rengar', 'sylas', 'shen', 'drmundo']","['58.36', '56.69', '55.41', '55.21', '54.98']","['574', '127', '296', '422', '642']",naafiri,all,top
5,"['nasus', 'singed', 'yorick', 'varus', 'trundle']","['41.64', '44.37', '45.18', '45.75', '45.8']","['3979', '897', '1919', '765', '5232']","['gragas', 'kennen', 'jayce', 'rumble', 'gnar']","['53.18', '52.93', '52.32', '51.96', '51.85']","['613', '1315', '2968', '1328', '1618']",vladimir,all,top
,"['monkeyking', 'irelia', 'garen', 'zac', 'kled']","['43.94', '43.96', '44.02', '45.26', '46']","['66', '646', '961', '95', '150']","['heimerdinger', 'rengar', 'kennen', 'gragas', 'vayne']","['59.64', '59.34', '57.53', '55.4', '55.21']","['223', '91', '292', '139', '355']",viktor,all,top
5,"['irelia', 'nasus', 'yorick', 'sion', 'yasuo']","['43.23', '43.74', '44.45', '45.09', '46.08']","['3044', '4403', '2792', '2548', '2116']","['sylas', 'rumble', 'tahmkench', 'gwen', 'warwick']","['58.43', '55.73', '55.4', '55.21', '54.41']","['688', '1335', '1594', '1833', '737']",heimerdinger,all,top
,"['singed', 'quinn', 'tryndamere', 'yorick', 'drmundo']","['40.47', '42.07', '42.99', '43.02', '43.14']","['215', '164', '328', '351', '299']","['rengar', 'gragas', 'varus', 'kennen', 'sylas']","['61.76', '59.02', '55.28', '54.58', '54.42']","['68', '183', '123', '240', '215']",galio,all,top
4,"['illaoi', 'drmundo', 'ornn', 'nasus', 'singed']","['41.69', '42.89', '43.91', '43.92', '44.67']","['20970', '9438', '11346', '19859', '4860']","['yasuo', 'akali', 'riven', 'yone', 'irelia']","['54.33', '53.3', '52.79', '52.74', '52.02']","['13423', '11252', '30135', '49725', '15109']",renekton,all,top
,"['zac', 'ornn', 'yorick', 'nasus', 'singed']","['30.77', '36.61', '36.99', '38.63', '40.87']","['39', '224', '246', '453', '115']","['rumble', 'teemo', 'jayce', 'heimerdinger', 'rengar']","['59.88', '56.83', '56.57', '55.66', '54.84']","['172', '593', '274', '106', '62']",karthus,all,top
5,"['nasus', 'drmundo', 'olaf', 'yorick', 'chogath']","['40.79', '40.91', '43.93', '45.02', '45.47']","['9375', '3706', '2634', '3523', '2063']","['udyr', 'rumble', 'volibear', 'yone', 'yasuo']","['54.13', '52.86', '52.7', '51.88', '51.37']","['606', '3415', '4901', '10386', '3062']",kennen,all,top
4,"['singed', 'kayle', 'warwick', 'heimerdinger', 'vayne']","['42.54', '44.55', '44.75', '44.84', '45.16']","['4640', '8013', '5529', '1833', '2748']","['sion', 'ksante', 'drmundo', 'renekton', 'chogath']","['54.61', '53.57', '53.33', '52.8', '52.78']","['17812', '13553', '10999', '11826', '8927']",gwen,all,top
