grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,champion_name,tier,lane
1,"['ivern', 'warwick', 'fiddlesticks', 'belveth', 'elise']","['45.64', '46.56', '46.61', '47.3', '47.65']","['401', '262', '560', '852', '361']","['gwen', 'zed', 'lillia', 'nidalee', 'ekko']","['59.76', '58.54', '57.4', '56.3', '55.18']","['82', '123', '446', '730', '1062']",evelynn,diamond,jungle
1,"['zed', 'trundle', 'reksai', 'fiddlesticks', 'nunu']","['40.38', '40.74', '41.67', '43.18', '47.22']","['52', '54', '168', '308', '252']","['shyvana', 'jax', 'amumu', 'sylas', 'warwick']","['63.95', '61.19', '61.02', '60.89', '59.26']","['86', '67', '118', '225', '135']",ivern,diamond,jungle
3,"['amumu', 'ivern', 'poppy', 'taliyah', 'gragas']","['37.78', '38.81', '39.5', '42.49', '43.57']","['45', '67', '119', '193', '140']","['monkeyking', 'zac', 'jarvaniv', 'reksai', 'udyr']","['67.86', '56.41', '56.27', '56.25', '54.9']","['56', '117', '279', '64', '51']",jax,diamond,jungle
1,"['nunu', 'ivern', 'gragas', 'shaco', 'belveth']","['46.1', '46.33', '46.69', '47.09', '47.35']","['1642', '1798', '4269', '3304', '3717']","['qiyana', 'gwen', 'shyvana', 'amumu', 'sylas']","['56.74', '55.04', '53.79', '53.57', '53.19']","['356', '367', '528', '743', '2320']",leesin,diamond,jungle
2,"['gwen', 'jax', 'trundle', 'karthus', 'maokai']","['42.86', '43.75', '45.1', '45.24', '45.71']","['35', '64', '51', '252', '175']","['udyr', 'ivern', 'vi', 'diana', 'hecarim']","['60.34', '58.33', '57.51', '56.6', '56.4']","['116', '168', '273', '212', '516']",reksai,diamond,jungle
1,"['gwen', 'shyvana', 'rumble', 'khazix', 'zac']","['42.65', '43.31', '44.44', '47.44', '48.29']","['68', '127', '54', '1113', '497']","['qiyana', 'monkeyking', 'ivern', 'skarner', 'shaco']","['61.02', '57.97', '56.82', '55.71', '55.63']","['59', '138', '308', '70', '586']",fiddlesticks,diamond,jungle
2,"['rumble', 'trundle', 'fiddlesticks', 'karthus', 'udyr']","['42.7', '43.68', '44.37', '44.78', '44.89']","['89', '87', '586', '603', '274']","['monkeyking', 'gwen', 'warwick', 'viego', 'jax']","['62.37', '60', '57.77', '55.73', '55.56']","['194', '75', '251', '1003', '117']",shaco,diamond,jungle
2,"['jax', 'skarner', 'lillia', 'rengar', 'brand']","['43.59', '46.03', '47.66', '48.25', '48.26']","['117', '63', '556', '429', '775']","['shyvana', 'sejuani', 'amumu', 'qiyana', 'zed']","['60.34', '59.02', '57.14', '54.79', '53.97']","['116', '305', '224', '73', '63']",zac,diamond,jungle
3,"['ivern', 'udyr', 'masteryi', 'karthus', 'trundle']","['40.8', '41.35', '44.04', '44.11', '44.12']","['174', '104', '327', '297', '68']","['zed', 'jax', 'rumble', 'xinzhao', 'shyvana']","['68.75', '60.5', '58.33', '56.85', '55.56']","['32', '119', '48', '146', '72']",poppy,diamond,jungle
2,"['warwick', 'evelynn', 'gwen', 'ivern', 'rammus']","['40.7', '43.7', '46', '46.23', '46.9']","['199', '730', '100', '478', '403']","['amumu', 'shyvana', 'rumble', 'trundle', 'shaco']","['60', '59.09', '57.38', '55.68', '54.91']","['150', '110', '122', '88', '825']",nidalee,diamond,jungle
2,"['qiyana', 'trundle', 'jax', 'shaco', 'reksai']","['40', '46.15', '46.24', '46.51', '46.75']","['40', '156', '93', '301', '154']","['zed', 'maokai', 'skarner', 'sejuani', 'briar']","['65.45', '57.96', '55.56', '55.48', '55.2']","['55', '226', '45', '146', '750']",rammus,diamond,jungle
2,"['trundle', 'warwick', 'gwen', 'taliyah', 'nocturne']","['42.05', '44.57', '44.64', '47.07', '47.07']","['88', '184', '56', '682', '920']","['shyvana', 'zed', 'jax', 'masteryi', 'viego']","['61.9', '57.14', '56.43', '54.06', '54.03']","['105', '91', '140', '579', '918']",gragas,diamond,jungle
3,"['skarner', 'nunu', 'gwen', 'rumble', 'poppy']","['43.48', '43.52', '44', '44.9', '46.48']","['46', '216', '50', '49', '284']","['trundle', 'warwick', 'zed', 'lillia', 'jarvaniv']","['60', '56.9', '56.25', '56.15', '55.54']","['45', '116', '64', '244', '677']",talon,diamond,jungle
3,"['skarner', 'gwen', 'zed', 'trundle', 'brand']","['38.89', '40', '42.86', '43.24', '44.4']","['36', '40', '49', '74', '554']","['qiyana', 'shyvana', 'amumu', 'maokai', 'talon']","['63.64', '62.82', '60.27', '56.7', '56.48']","['44', '78', '146', '194', '216']",nunu,diamond,jungle
2,"['rumble', 'kindred', 'belveth', 'ivern', 'ekko']","['43.96', '45.38', '45.98', '46.04', '46.28']","['91', '595', '996', '530', '1074']","['zed', 'gwen', 'warwick', 'monkeyking', 'skarner']","['58.82', '58.56', '56.89', '56.19', '55.75']","['119', '111', '283', '210', '113']",brand,diamond,jungle
3,"['poppy', 'nidalee', 'kayn', 'rammus', 'nocturne']","['41.67', '42.62', '44.66', '44.83', '45.88']","['48', '122', '103', '58', '170']","['xinzhao', 'briar', 'kindred', 'sejuani', 'khazix']","['65.79', '64.94', '63.46', '63.41', '60.5']","['38', '77', '52', '41', '119']",rumble,diamond,jungle
3,"['qiyana', 'shaco', 'karthus', 'ivern', 'amumu']","['42.75', '44.27', '45.28', '45.49', '45.86']","['131', '1003', '720', '565', '362']","['sylas', 'zed', 'gwen', 'vi', 'warwick']","['53.89', '53.75', '51.53', '51.44', '51.27']","['655', '160', '163', '1149', '353']",viego,diamond,jungle
3,"['ivern', 'shaco', 'amumu', 'talon', 'brand']","['40.74', '42.23', '42.68', '43.1', '43.11']","['135', '251', '82', '116', '283']","['nidalee', 'sylas', 'shyvana', 'vi', 'jax']","['59.3', '57.8', '57.38', '56.62', '55.56']","['199', '109', '61', '219', '72']",warwick,diamond,jungle
3,"['reksai', 'ivern', 'vi', 'fiddlesticks', 'jax']","['39.66', '44.69', '44.75', '44.8', '45.1']","['116', '179', '295', '250', '51']","['zed', 'poppy', 'sejuani', 'shaco', 'shyvana']","['74.36', '58.65', '58.46', '55.11', '54.67']","['39', '104', '130', '274', '75']",udyr,diamond,jungle
3,"['gwen', 'trundle', 'belveth', 'reksai', 'taliyah']","['40', '40.2', '43.36', '43.4', '43.4']","['60', '102', '602', '212', '470']","['elise', 'amumu', 'zed', 'lillia', 'rumble']","['57.03', '55.66', '53.21', '52.78', '52.63']","['256', '212', '109', '360', '57']",diana,diamond,jungle
,"['kindred', 'elise', 'talon', 'evelynn', 'taliyah']","['36.54', '38.64', '39.02', '41.11', '42.86']","['52', '44', '41', '90', '77']","['rammus', 'jarvaniv', 'belveth', 'shaco', 'lillia']","['61.54', '58.39', '58.06', '56.25', '55']","['39', '137', '93', '64', '40']",pantheon,diamond,jungle
3,"['trundle', 'zed', 'diana', 'karthus', 'kindred']","['39.02', '40.35', '42.97', '44.25', '44.79']","['41', '57', '256', '400', '259']","['gwen', 'monkeyking', 'sylas', 'skarner', 'vi']","['62.5', '56.25', '54.89', '54', '53.8']","['48', '96', '235', '50', '342']",elise,diamond,jungle
,"['karthus', 'lillia', 'ivern', 'maokai', 'sylas']","['33.33', '37.5', '37.78', '38', '38.89']","['54', '32', '45', '50', '54']","['viego', 'nunu', 'talon', 'vi', 'kayn']","['57.55', '56.76', '56.76', '55.56', '55.28']","['106', '37', '37', '72', '123']",rell,diamond,jungle
4,"['talon', 'kindred', 'taliyah', 'karthus', 'xinzhao']","['40', '40.74', '42.5', '43.55', '44.07']","['45', '54', '80', '62', '59']","['elise', 'diana', 'ivern', 'rengar', 'gragas']","['60.98', '59.8', '59.26', '58.62', '57.95']","['41', '102', '54', '87', '88']",trundle,diamond,jungle
3,"['skarner', 'rammus', 'nunu', 'shaco', 'sejuani']","['40', '42.04', '43.3', '46.61', '46.64']","['40', '226', '194', '369', '223']","['amumu', 'qiyana', 'monkeyking', 'trundle', 'lillia']","['62.65', '62', '57.26', '55.56', '54.44']","['166', '50', '117', '72', '270']",maokai,diamond,jungle
3,"['rumble', 'evelynn', 'karthus', 'talon', 'kindred']","['42.11', '42.6', '43.56', '43.85', '45.16']","['38', '446', '326', '244', '341']","['gwen', 'sejuani', 'xinzhao', 'amumu', 'udyr']","['60.61', '56.88', '55.56', '54.88', '54.85']","['66', '276', '189', '215', '299']",lillia,diamond,jungle
3,"['masteryi', 'jax', 'gwen', 'karthus', 'talon']","['42.89', '43.73', '43.75', '43.83', '44.46']","['1392', '279', '176', '883', '677']","['shyvana', 'sejuani', 'skarner', 'amumu', 'sylas']","['53.57', '53.5', '52.98', '52.76', '52.64']","['308', '671', '168', '434', '851']",jarvaniv,diamond,jungle
4,"['ivern', 'masteryi', 'briar', 'kindred', 'rumble']","['39.11', '40.79', '41.16', '41.22', '41.67']","['225', '380', '413', '245', '60']","['gwen', 'nunu', 'shyvana']","['54.9', '50.62', '50.53']","['51', '243', '95']",sylas,diamond,jungle
4,"['elise', 'lillia', 'shaco', 'evelynn', 'xinzhao']","['37.5', '39.39', '40', '40.24', '40.48']","['48', '66', '75', '82', '42']","['monkeyking', 'vi', 'sejuani', 'amumu', 'diana']","['68.75', '62.07', '60.78', '60.61', '60']","['32', '87', '51', '33', '60']",gwen,diamond,jungle
4,"['brand', 'fiddlesticks', 'rammus', 'karthus', 'belveth']","['44.25', '44.29', '44.44', '45', '45.31']","['113', '70', '45', '60', '128']","['nunu', 'amumu', 'maokai', 'sylas', 'talon']","['61.11', '60.53', '60', '57.58', '56.52']","['36', '38', '40', '33', '46']",skarner,diamond,jungle
3,"['rumble', 'poppy', 'skarner', 'reksai', 'lillia']","['34.21', '43.15', '44', '44.3', '44.44']","['38', '146', '50', '149', '189']","['amumu', 'gwen', 'monkeyking', 'sejuani', 'warwick']","['61.39', '59.52', '58.89', '56.76', '56.3']","['101', '42', '90', '148', '135']",xinzhao,diamond,jungle
,"['hecarim', 'nocturne', 'khazix', 'briar', 'leesin']","['33.33', '33.33', '42.86', '46.67', '48.86']","['30', '30', '42', '30', '88']","['viego', 'ekko', 'graves', 'kayn']","['60.61', '57.89', '54.93', '53.85']","['33', '38', '71', '39']",neeko,diamond,jungle
,"['masteryi', 'shaco', 'kayn', 'belveth', 'reksai']","['35.71', '40.68', '43.14', '43.3', '43.75']","['84', '59', '153', '97', '32']","['sylas', 'vi', 'nidalee', 'nunu', 'diana']","['70', '62.96', '62.75', '62.22', '60.66']","['40', '54', '51', '45', '61']",volibear,diamond,jungle
,"['graves', 'taliyah', 'brand', 'leesin', 'vi']","['43.81', '44.44', '44.44', '44.44', '45.45']","['105', '36', '54', '135', '33']","['shaco', 'nidalee', 'ekko', 'jarvaniv', 'briar']","['71.43', '63.33', '61.54', '56.52', '56.41']","['35', '30', '39', '46', '39']",olaf,diamond,jungle
3,"['gwen', 'reksai', 'warwick', 'kindred', 'talon']","['37.93', '42.49', '43.38', '44.39', '44.58']","['87', '273', '219', '428', '406']","['monkeyking', 'udyr', 'trundle', 'sylas', 'maokai']","['56.42', '55.25', '54.03', '53.5', '52.73']","['257', '295', '124', '428', '366']",vi,diamond,jungle
5,"['nunu', 'hecarim', 'maokai', 'fiddlesticks', 'kindred']","['36.36', '37.1', '38', '38.98', '39.58']","['44', '124', '50', '59', '48']","['rammus', 'belveth', 'viego', 'sylas', 'diana']","['60', '58.75', '57.25', '54.9', '52.56']","['40', '80', '131', '51', '78']",qiyana,diamond,jungle
5,"['udyr', 'poppy', 'rammus', 'masteryi', 'rengar']","['25.64', '31.25', '34.55', '37.4', '37.5']","['39', '32', '55', '123', '88']","['amumu', 'elise', 'ivern', 'kindred', 'nunu']","['60', '59.65', '59.62', '58.18', '57.14']","['35', '57', '52', '55', '49']",zed,diamond,jungle
4,"['maokai', 'xinzhao', 'ivern', 'gwen', 'skarner']","['37.35', '38.61', '38.98', '39.39', '39.47']","['166', '101', '118', '33', '38']","['jax', 'warwick', 'viego', 'sylas', 'gragas']","['62.22', '57.32', '54.14', '54.12', '52.49']","['45', '82', '362', '170', '181']",amumu,diamond,jungle
4,"['rumble', 'gwen', 'zac', 'kindred', 'udyr']","['36.59', '39.22', '40.98', '41.18', '41.54']","['41', '51', '305', '221', '130']","['zed', 'maokai', 'monkeyking', 'briar', 'vi']","['61.9', '53.36', '52.99', '52.87', '52.81']","['42', '223', '117', '331', '320']",sejuani,diamond,jungle
5,"['ivern', 'nunu', 'gragas', 'zac', 'nidalee']","['36.05', '37.18', '38.1', '39.66', '40.91']","['86', '78', '105', '116', '110']","['fiddlesticks', 'amumu', 'trundle', 'diana', 'nocturne']","['56.69', '56.36', '54.55', '53.03', '52.74']","['127', '55', '33', '132', '328']",shyvana,diamond,jungle
,"['leesin', 'graves']","['40.54', '47.22']","['37', '36']",[],[],[],sion,diamond,jungle
,['graves'],['37.5'],['32'],[],[],[],singed,diamond,jungle
,"['ekko', 'khazix', 'evelynn', 'graves', 'leesin']","['26.67', '33.33', '38.89', '40.79', '41.3']","['45', '60', '36', '76', '92']","['fiddlesticks', 'diana', 'hecarim', 'viego', 'brand']","['60', '55.88', '54.72', '53.06', '52.38']","['35', '34', '53', '49', '42']",mordekaiser,diamond,jungle
,"['rengar', 'ekko', 'belveth', 'kayn', 'brand']","['31.71', '38.33', '39.53', '44.29', '44.68']","['41', '60', '43', '70', '94']","['zac', 'lillia', 'vi', 'nocturne', 'rammus']","['64.52', '61.11', '57.5', '56.67', '55.88']","['31', '36', '40', '90', '34']",morgana,diamond,jungle
,['leesin'],['43.33'],['30'],[],[],[],taric,diamond,jungle
,"['khazix', 'jarvaniv', 'leesin', 'graves']","['29.27', '40', '46.25', '47.27']","['41', '30', '80', '55']",['nocturne'],['51.43'],['35'],zyra,diamond,jungle
,"['nunu', 'ekko', 'hecarim', 'evelynn', 'khazix']","['23.53', '34.21', '35.56', '35.56', '38.46']","['34', '38', '45', '45', '52']","['nidalee', 'graves', 'taliyah']","['65.63', '52', '51.52']","['32', '100', '33']",teemo,diamond,jungle
5,"['gwen', 'jax', 'shaco', 'taliyah', 'xinzhao']","['31.25', '32.14', '37.63', '38.68', '41.11']","['32', '56', '194', '212', '90']","['amumu', 'shyvana', 'ekko', 'masteryi', 'kayn']","['59.26', '54.17', '53.36', '51.07', '50.98']","['81', '48', '253', '233', '410']",monkeyking,diamond,jungle
,['leesin'],['40.63'],['32'],[],[],[],drmundo,diamond,jungle
,[],[],[],[],[],[],naafiri,diamond,jungle
1,"['rumble', 'malphite', 'swain', 'annie', 'gragas']","['43.65', '46.83', '47.78', '47.93', '48.11']","['181', '205', '180', '169', '106']","['ziggs', 'hwei', 'gangplank', 'veigar', 'singed']","['61.82', '60.15', '59.34', '58.09', '57.26']","['110', '1769', '91', '272', '117']",talon,diamond,mid
1,"['chogath', 'brand', 'taliyah', 'pantheon', 'vex']","['41.46', '44.44', '44.67', '46.35', '46.43']","['205', '288', '694', '684', '1553']","['malphite', 'zed', 'gangplank', 'hwei', 'naafiri']","['56.42', '55.73', '55.26', '55', '53.57']","['257', '2620', '190', '4198', '392']",sylas,diamond,mid
4,"['rumble', 'swain', 'kassadin', 'talon', 'tristana']","['33.33', '40.38', '40.88', '45.31', '46']","['39', '52', '137', '192', '50']","['ryze', 'jayce', 'hwei', 'naafiri', 'irelia']","['63.64', '59.78', '59.66', '58.7', '56.77']","['88', '184', '523', '46', '155']",taliyah,diamond,mid
1,"['anivia', 'twistedfate', 'gragas', 'lissandra', 'kassadin']","['45.53', '45.75', '45.95', '46.52', '47']","['257', '529', '74', '402', '217']","['brand', 'hwei', 'kennen', 'velkoz', 'ryze']","['61.76', '61.29', '61.19', '59.68', '58.65']","['68', '1191', '67', '62', '133']",akshan,diamond,mid
1,"['rumble', 'kennen', 'galio', 'singed', 'akshan']","['41.62', '41.73', '43.74', '44.44', '44.72']","['173', '127', '679', '117', '483']","['hwei', 'neeko', 'swain', 'aurelionsol', 'corki']","['62.16', '56.25', '55.28', '54.33', '54.25']","['2645', '288', '199', '335', '153']",katarina,diamond,mid
1,"['singed', 'kennen', 'malphite', 'fizz', 'diana']","['35.94', '42.41', '43.09', '44.9', '45.36']","['217', '158', '123', '2332', '593']","['hwei', 'chogath', 'vladimir', 'veigar', 'corki']","['59.39', '54.41', '54.04', '53.68', '53.62']","['5033', '204', '1301', '924', '304']",syndra,diamond,mid
2,"['singed', 'gangplank', 'kennen', 'velkoz', 'swain']","['37.57', '41.21', '41.5', '42.22', '42.95']","['173', '199', '147', '180', '305']","['ryze', 'hwei', 'brand', 'naafiri', 'pantheon']","['59.88', '56.74', '55.48', '54.14', '52.33']","['324', '2991', '155', '181', '774']",yasuo,diamond,mid
1,"['annie', 'vex', 'diana', 'pantheon', 'vladimir']","['45.28', '45.97', '46.04', '46.05', '46.11']","['212', '533', '278', '367', '733']","['malphite', 'ziggs', 'brand', 'hwei', 'kennen']","['67.21', '63.72', '61.82', '61.23', '60.76']","['61', '113', '110', '2693', '79']",fizz,diamond,mid
2,"['kennen', 'galio', 'swain', 'annie', 'malzahar']","['37.93', '40.48', '42.11', '42.76', '44.37']","['58', '252', '152', '145', '613']","['gangplank', 'hwei', 'qiyana', 'naafiri', 'ekko']","['55.7', '55.61', '55.43', '55.2', '55.1']","['79', '1507', '433', '125', '343']",vladimir,diamond,mid
3,"['swain', 'brand', 'corki', 'gangplank', 'annie']","['38.53', '39.22', '40.3', '44.83', '45.22']","['109', '51', '67', '58', '115']","['ryze', 'vladimir', 'chogath', 'lissandra', 'ziggs']","['65.98', '59.52', '59.46', '57.64', '57.14']","['97', '252', '37', '314', '35']",galio,diamond,mid
1,"['annie', 'pantheon', 'corki', 'talon', 'neeko']","['41.04', '45.04', '45.81', '46.25', '46.61']","['212', '242', '179', '893', '442']","['hwei', 'naafiri', 'veigar', 'azir', 'kennen']","['59.07', '57.58', '56.62', '56.46', '56.41']","['2277', '165', '438', '712', '78']",twistedfate,diamond,mid
3,"['neeko', 'rumble', 'diana', 'chogath', 'vladimir']","['41.28', '42.53', '42.77', '43.14', '44.57']","['218', '87', '166', '51', '433']","['brand', 'ziggs', 'corki', 'naafiri', 'tristana']","['64.44', '62.69', '61.19', '60.67', '58.43']","['45', '67', '67', '89', '89']",qiyana,diamond,mid
,"['akali', 'syndra', 'talon', 'sylas']","['42.86', '46.88', '47.5', '48.19']","['42', '64', '40', '83']","['zed', 'katarina', 'irelia', 'orianna', 'fizz']","['68', '62', '60', '58.67', '56.41']","['50', '50', '35', '75', '39']",camille,diamond,mid
4,"['leblanc', 'lux', 'talon', 'twistedfate', 'zoe']","['41.59', '42.5', '42.74', '44.9', '45.65']","['113', '40', '117', '98', '46']","['irelia', 'syndra', 'yasuo', 'xerath', 'aurelionsol']","['65.91', '64.06', '62.43', '60', '59.57']","['88', '217', '173', '60', '47']",singed,diamond,mid
4,"['kennen', 'gragas', 'singed', 'pantheon', 'neeko']","['39.47', '40.35', '41.67', '42.28', '42.6']","['38', '57', '60', '149', '169']","['brand', 'hwei', 'gangplank', 'chogath', 'leblanc']","['59.18', '58.75', '57.5', '57.45', '53.85']","['49', '1183', '40', '47', '260']",ekko,diamond,mid
,"['ahri', 'lissandra', 'leblanc', 'viktor', 'talon']","['38.18', '40', '43.24', '45.1', '45.98']","['55', '35', '37', '51', '87']","['jayce', 'xerath', 'zed', 'fizz', 'katarina']","['70.27', '69.23', '63.03', '61.97', '60']","['37', '39', '119', '71', '105']",riven,diamond,mid
3,"['singed', 'rumble', 'kennen', 'brand', 'taliyah']","['34.09', '38.14', '40.35', '43.21', '43.23']","['88', '118', '57', '81', '155']","['aurelionsol', 'hwei', 'leblanc', 'gragas', 'ziggs']","['59.21', '57.46', '57', '56.18', '54.93']","['228', '1723', '693', '89', '71']",irelia,diamond,mid
2,"['rumble', 'aurelionsol', 'chogath', 'swain', 'taliyah']","['43.86', '44.39', '45', '46.46', '47.06']","['57', '196', '40', '99', '85']","['kennen', 'gangplank', 'malzahar', 'zed', 'hwei']","['65.71', '60', '59.45', '58.83', '58.49']","['35', '35', '217', '515', '966']",anivia,diamond,mid
2,"['kennen', 'brand', 'gragas', 'rumble', 'cassiopeia']","['36.73', '40.28', '42.62', '43.48', '44.57']","['49', '72', '61', '69', '175']","['velkoz', 'taliyah', 'hwei', 'zoe', 'gangplank']","['59.82', '59.12', '59.07', '57.88', '56.92']","['112', '137', '1478', '273', '65']",kassadin,diamond,mid
4,"['viktor', 'ryze', 'rumble', 'katarina', 'naafiri']","['39.52', '42.31', '42.42', '44.72', '45.24']","['124', '52', '33', '199', '42']","['brand', 'velkoz', 'galio', 'chogath', 'taliyah']","['66.67', '63.33', '61.47', '61.29', '59.62']","['33', '30', '109', '31', '52']",swain,diamond,mid
2,"['singed', 'annie', 'rumble', 'naafiri', 'fizz']","['40', '40.4', '43.81', '44.26', '44.54']","['60', '198', '105', '122', '696']","['chogath', 'hwei', 'brand', 'zed', 'jayce']","['61.11', '58.46', '57.66', '57.51', '57.45']","['72', '2475', '111', '666', '557']",xerath,diamond,mid
5,"['anivia', 'akshan', 'fizz', 'zoe', 'cassiopeia']","['34.29', '38.81', '39.24', '39.39', '41.67']","['35', '67', '79', '33', '36']","['kassadin', 'vladimir', 'ekko', 'malzahar', 'irelia']","['63.27', '62.07', '60.53', '60', '59.65']","['49', '58', '38', '35', '57']",kennen,diamond,mid
1,"['singed', 'swain', 'akshan', 'taliyah', 'lissandra']","['40.59', '40.63', '42.09', '43.3', '43.7']","['202', '288', '929', '418', '1309']","['viktor', 'hwei', 'ziggs', 'aurelionsol', 'ekko']","['56.58', '56.46', '54.4', '52.78', '52.56']","['1177', '3312', '182', '468', '742']",akali,diamond,mid
,"['ekko', 'xerath', 'galio', 'yone', 'vladimir']","['37.5', '41.38', '43.59', '44.65', '44.9']","['40', '58', '39', '159', '49']","['taliyah', 'leblanc', 'viktor', 'veigar', 'aurelionsol']","['68.75', '66.04', '65.91', '63.33', '62.5']","['32', '53', '44', '30', '32']",tryndamere,diamond,mid
3,"['pantheon', 'rumble', 'anivia', 'singed', 'xerath']","['40.32', '40.37', '41.17', '41.82', '42.49']","['439', '218', '515', '110', '666']","['hwei', 'veigar', 'vex', 'velkoz', 'tristana']","['57.44', '54.61', '53.93', '53.42', '52.63']","['2627', '401', '662', '161', '190']",zed,diamond,mid
4,"['tristana', 'annie', 'velkoz', 'zoe', 'anivia']","['42.62', '43.33', '43.64', '43.92', '45.71']","['61', '60', '55', '148', '140']","['gragas', 'aurelionsol', 'kennen', 'chogath', 'kassadin']","['62.79', '60.19', '58.33', '57.89', '55.43']","['43', '108', '36', '38', '175']",cassiopeia,diamond,mid
3,"['naafiri', 'anivia', 'rumble', 'ryze', 'chogath']","['39.56', '41.7', '41.79', '43.18', '43.48']","['91', '235', '67', '132', '46']","['hwei', 'singed', 'malphite', 'lissandra', 'jayce']","['58.91', '57.5', '55.77', '55.15', '55']","['1638', '40', '52', '388', '360']",lux,diamond,mid
5,"['swain', 'qiyana', 'fizz', 'akshan', 'ekko']","['33.33', '35.56', '38.18', '38.24', '40.82']","['33', '45', '110', '68', '49']","['azir', 'lissandra', 'galio', 'kassadin', 'malzahar']","['62.37', '61.54', '60.78', '59.72', '59.65']","['93', '78', '51', '72', '57']",brand,diamond,mid
2,"['gangplank', 'rumble', 'neeko', 'taliyah', 'kennen']","['41.3', '41.33', '43.81', '44.3', '44.44']","['46', '75', '315', '158', '63']","['malzahar', 'hwei', 'leblanc', 'brand', 'gragas']","['59.26', '57.86', '56.15', '56.14', '55.93']","['216', '1075', '992', '57', '59']",vex,diamond,mid
,"['irelia', 'xerath', 'twistedfate', 'lissandra', 'fizz']","['33.33', '41.03', '45.83', '46.88', '47.06']","['39', '39', '48', '32', '51']","['jayce', 'hwei', 'viktor', 'azir', 'katarina']","['65.31', '62.37', '57.14', '57.14', '56.82']","['49', '93', '35', '35', '44']",quinn,diamond,mid
3,"['kassadin', 'akshan', 'galio', 'twistedfate', 'naafiri']","['42.12', '42.81', '44.04', '44.04', '44.33']","['273', '299', '218', '470', '97']","['rumble', 'kennen', 'pantheon', 'hwei', 'azir']","['60.81', '60.61', '58.33', '57.41', '56.89']","['74', '33', '96', '1127', '334']",zoe,diamond,mid
3,"['velkoz', 'swain', 'katarina', 'tristana', 'singed']","['37.78', '41.98', '43.75', '43.94', '44.64']","['45', '81', '288', '66', '56']","['ziggs', 'naafiri', 'qiyana', 'malphite', 'ekko']","['67.31', '66.67', '58.72', '57.5', '57.4']","['52', '99', '218', '40', '169']",neeko,diamond,mid
5,"['cassiopeia', 'galio', 'leblanc', 'irelia', 'vex']","['37.21', '43.08', '43.3', '43.82', '44.07']","['43', '65', '97', '89', '59']","['ekko', 'diana', 'viktor', 'hwei', 'kassadin']","['59.65', '58.82', '58.62', '57.79', '57.38']","['57', '34', '87', '199', '61']",gragas,diamond,mid
,"['lux', 'yasuo', 'hwei', 'ahri', 'yone']","['41.94', '44.23', '46.6', '47.27', '47.3']","['31', '52', '103', '55', '74']","['talon', 'sylas', 'twistedfate', 'orianna', 'irelia']","['68.63', '63.7', '58.06', '56.82', '54.55']","['51', '135', '31', '88', '33']",heimerdinger,diamond,mid
4,"['diana', 'gangplank', 'malzahar', 'zoe', 'velkoz']","['37.78', '38.1', '41.6', '41.67', '41.86']","['90', '42', '125', '96', '43']","['zed', 'ekko', 'akali', 'leblanc', 'twistedfate']","['59.68', '57.72', '55.54', '55.03', '54.96']","['439', '149', '542', '169', '242']",pantheon,diamond,mid
4,"['aurelionsol', 'tristana', 'neeko', 'vex', 'swain']","['42.31', '43.4', '44.76', '44.96', '45']","['78', '53', '105', '129', '60']","['corki', 'hwei', 'ryze', 'rumble', 'xerath']","['64.71', '60.98', '60.66', '60', '59.6']","['34', '533', '61', '40', '198']",annie,diamond,mid
4,"['velkoz', 'taliyah', 'singed', 'xerath', 'tristana']","['39.33', '40.22', '42.17', '42.55', '43.82']","['89', '184', '83', '557', '178']","['hwei', 'katarina', 'malzahar', 'yone', 'azir']","['54.84', '54.37', '53.28', '53.25', '51.65']","['1249', '629', '274', '1294', '546']",jayce,diamond,mid
2,"['rumble', 'singed', 'gragas', 'taliyah', 'aurelionsol']","['42.53', '42.57', '43.24', '44.5', '44.56']","['388', '249', '222', '591', '873']","['hwei', 'chogath', 'pantheon', 'zed', 'ziggs']","['55.25', '52.91', '51.82', '50.92', '50.75']","['4235', '189', '413', '1958', '398']",orianna,diamond,mid
,"['yasuo', 'talon', 'viktor', 'jayce', 'fizz']","['42.5', '43.18', '43.33', '44.44', '45.83']","['40', '44', '30', '36', '48']","['zed', 'hwei', 'lissandra', 'syndra', 'vex']","['58.21', '57.6', '56.25', '56.03', '55.88']","['67', '125', '32', '116', '34']",zilean,diamond,mid
,"['twistedfate', 'orianna']","['37.5', '46.77']","['32', '62']","['katarina', 'yasuo', 'hwei', 'yone', 'syndra']","['68.57', '57.14', '55.17', '53.06', '52.5']","['35', '42', '58', '49', '40']",fiddlesticks,diamond,mid
4,"['rumble', 'cassiopeia', 'singed', 'irelia', 'naafiri']","['39.19', '39.81', '40.43', '40.79', '41.07']","['74', '108', '47', '228', '56']","['gangplank', 'corki', 'hwei', 'annie', 'ziggs']","['70.97', '64.41', '60.7', '57.69', '57.58']","['31', '59', '883', '78', '66']",aurelionsol,diamond,mid
,"['ahri', 'vladimir', 'yone', 'irelia', 'syndra']","['35.56', '43.33', '45.9', '46.67', '46.88']","['45', '30', '61', '30', '64']","['zed', 'akali', 'hwei', 'jayce', 'katarina']","['60.42', '60.24', '57.41', '56.76', '53.85']","['48', '83', '54', '37', '52']",zac,diamond,mid
